anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 101      errA=1.997216793921349e-9      err2_a=6.28601483299066e-18      err2_b=9.819205808702699e-9
iter = 102      errA=1.9972167939235586e-9      err2_a=6.28601483348347e-18      err2_b=9.81920580871341e-9
iter = 103      errA=1.99721679394131e-9      err2_a=6.2962482361265124e-18      err2_b=9.819205808844256e-9
iter = 104      errA=1.9972167939576223e-9      err2_a=6.296377254939439e-18      err2_b=9.819205808977973e-9
iter = 105      errA=1.9972167940490233e-9      err2_a=6.288063619684348e-18      err2_b=9.819205809610042e-9
iter = 106      errA=1.997216794101195e-9      err2_a=6.2963121145478355e-18      err2_b=9.819205809982844e-9
iter = 107      errA=1.997216794104868e-9      err2_a=6.288093068661266e-18      err2_b=9.819205810035719e-9
iter = 108      errA=1.997216794135133e-9      err2_a=6.2941723889023255e-18      err2_b=9.819205810212606e-9
iter = 109      errA=1.9972167941559914e-9      err2_a=6.285823365749508e-18      err2_b=9.819205810366053e-9
iter = 110      errA=1.997216794242787e-9      err2_a=6.29472396178083e-18      err2_b=9.819205810929643e-9
iter = 111      errA=1.997216794381902e-9      err2_a=6.294107839200218e-18      err2_b=9.819205811808254e-9
iter = 112      errA=1.997216794400318e-9      err2_a=6.288028700292959e-18      err2_b=9.819205811946958e-9
iter = 113      errA=1.9972167944307808e-9      err2_a=6.294236904309651e-18      err2_b=9.81920581215079e-9
iter = 114      errA=1.9972167944493712e-9      err2_a=6.285789384402838e-18      err2_b=9.819205812286714e-9
iter = 115      errA=1.9972167944882396e-9      err2_a=6.296737819940006e-18      err2_b=9.819205812534527e-9
iter = 116      errA=1.997216794679279e-9      err2_a=6.2880638567441025e-18      err2_b=9.819205813755709e-9
iter = 117      errA=1.9972167947528696e-9      err2_a=6.2880616142140105e-18      err2_b=9.819205814228497e-9
iter = 118      errA=1.997216794769117e-9      err2_a=6.2963772928386375e-18      err2_b=9.81920581435753e-9
iter = 119      errA=1.9972167948051255e-9      err2_a=6.296381462675139e-18      err2_b=9.819205814587437e-9
iter = 120      errA=1.9972167948230236e-9      err2_a=6.296377288399982e-18      err2_b=9.819205814699954e-9
iter = 121      errA=1.997216794970194e-9      err2_a=6.288619088360075e-18      err2_b=9.819205815672964e-9
iter = 122      errA=1.9972167951811994e-9      err2_a=6.2882229044822816e-18      err2_b=9.819205817022035e-9
iter = 123      errA=1.9972167952008806e-9      err2_a=6.288160282781496e-18      err2_b=9.819205817121277e-9
iter = 124      errA=1.997216795308204e-9      err2_a=6.296344929533695e-18      err2_b=9.819205817810803e-9
iter = 125      errA=1.997216795885343e-9      err2_a=6.296832322169717e-18      err2_b=9.819205821487493e-9
iter = 126      errA=1.9972167960063357e-9      err2_a=6.2963449295315096e-18      err2_b=9.819205822248796e-9
iter = 127      errA=1.997216796101144e-9      err2_a=6.294761167067846e-18      err2_b=9.819205822864903e-9
iter = 128      errA=1.9972167961720733e-9      err2_a=6.296538485271957e-18      err2_b=9.819205823318903e-9
iter = 129      errA=1.9972167962070527e-9      err2_a=6.28809575037676e-18      err2_b=9.819205823542607e-9
iter = 130      errA=1.997216796489912e-9      err2_a=6.29644456471993e-18      err2_b=9.819205825330996e-9
iter = 131      errA=1.9972167965979865e-9      err2_a=6.2880612681825025e-18      err2_b=9.8192058259993e-9
iter = 132      errA=1.9972167966002865e-9      err2_a=6.294696471848901e-18      err2_b=9.819205826007215e-9
iter = 133      errA=1.9972167966690653e-9      err2_a=6.296344971018118e-18      err2_b=9.819205826419697e-9
iter = 134      errA=1.9972167966987524e-9      err2_a=6.28589277923833e-18      err2_b=9.819205826593985e-9
iter = 135      errA=1.997216796897894e-9      err2_a=6.28589074516238e-18      err2_b=9.819205827741632e-9
iter = 136      errA=1.9972167969024548e-9      err2_a=6.296531823939176e-18      err2_b=9.819205827762075e-9
iter = 137      errA=1.9972167975593425e-9      err2_a=6.2942069539411786e-18      err2_b=9.81920583162803e-9
iter = 138      errA=1.997216797710005e-9      err2_a=6.294763920261433e-18      err2_b=9.81920583253044e-9
iter = 139      errA=1.99721679821978e-9      err2_a=6.296825422777541e-18      err2_b=9.819205835529481e-9
iter = 140      errA=1.9972167982782323e-9      err2_a=6.286022956378405e-18      err2_b=9.81920583589215e-9
iter = 141      errA=1.9972168020857984e-9      err2_a=6.2965675562391386e-18      err2_b=9.81920585803465e-9
iter = 142      errA=1.9972168024855525e-9      err2_a=6.288093850211056e-18      err2_b=9.819205860346908e-9
iter = 143      errA=1.9972168033451913e-9      err2_a=6.2882581194170724e-18      err2_b=9.819205865345705e-9
iter = 144      errA=1.9972168036002623e-9      err2_a=6.296770781627108e-18      err2_b=9.819205866842627e-9
iter = 145      errA=1.997216809814779e-9      err2_a=6.28803233640709e-18      err2_b=9.819205902976822e-9
iter = 146      errA=1.9972168103474203e-9      err2_a=6.286446143830726e-18      err2_b=9.81920590609498e-9
iter = 147      errA=1.9972168116148174e-9      err2_a=6.297844895075726e-18      err2_b=9.819205913521547e-9
iter = 148      errA=1.9972168129858816e-9      err2_a=6.295773763369759e-18      err2_b=9.819205921541e-9
iter = 149      errA=1.9972168156918094e-9      err2_a=6.280095454010478e-18      err2_b=9.819205937314633e-9
iter = 150      errA=1.9972168161282043e-9      err2_a=6.288685472727665e-18      err2_b=9.819205939852284e-9
iter = 151      errA=1.9972168176676453e-9      err2_a=6.2878397461638834e-18      err2_b=9.819205948859646e-9
iter = 152      errA=1.9972168213143914e-9      err2_a=6.28650902036291e-18      err2_b=9.819205970270392e-9
iter = 153      errA=1.9972168218659856e-9      err2_a=6.285951048578601e-18      err2_b=9.81920597354077e-9
iter = 154      errA=1.9972168223984955e-9      err2_a=6.288714893860063e-18      err2_b=9.819205976665494e-9
iter = 155      errA=1.997216823504e-9      err2_a=6.2866412810142194e-18      err2_b=9.819205983147113e-9
iter = 156      errA=1.997216826247573e-9      err2_a=6.2888115307767e-18      err2_b=9.819205999208128e-9
iter = 157      errA=1.9972168263000182e-9      err2_a=6.29699111745867e-18      err2_b=9.819205999494531e-9
iter = 158      errA=1.9972168265952704e-9      err2_a=6.286181939265504e-18      err2_b=9.819206001216595e-9
iter = 159      errA=1.9972168267817967e-9      err2_a=6.2958039923127766e-18      err2_b=9.81920600229107e-9
iter = 160      errA=1.997216827290707e-9      err2_a=6.296594627140806e-18      err2_b=9.81920600523661e-9
iter = 161      errA=1.9972168272929414e-9      err2_a=6.288279089441072e-18      err2_b=9.819206005245036e-9
iter = 162      errA=1.997216827383231e-9      err2_a=6.2948094194438746e-18      err2_b=9.819206005792514e-9
iter = 163      errA=1.997216827420428e-9      err2_a=6.2948721039784025e-18      err2_b=9.819206006016491e-9
iter = 164      errA=1.9972168274383623e-9      err2_a=6.28664083863525e-18      err2_b=9.819206006141496e-9
iter = 165      errA=1.9972168274566024e-9      err2_a=6.296639257759513e-18      err2_b=9.819206006230266e-9
iter = 166      errA=1.997216827474305e-9      err2_a=6.288064121580765e-18      err2_b=9.819206006317714e-9
iter = 167      errA=1.997216827637134e-9      err2_a=6.296251053259436e-18      err2_b=9.819206007286137e-9
iter = 168      errA=1.9972168276550534e-9      err2_a=6.296315549170493e-18      err2_b=9.81920600737776e-9
iter = 169      errA=1.9972168277306354e-9      err2_a=6.288095761612478e-18      err2_b=9.819206007847197e-9
iter = 170      errA=1.9972168281298803e-9      err2_a=6.2879962607166676e-18      err2_b=9.819206010336159e-9
iter = 171      errA=1.9972168281853436e-9      err2_a=6.287933982765233e-18      err2_b=9.819206010677826e-9
iter = 172      errA=1.99721682838124e-9      err2_a=6.288063456168176e-18      err2_b=9.819206011886434e-9
iter = 173      errA=1.9972168284161534e-9      err2_a=6.294205989898484e-18      err2_b=9.819206012112417e-9
iter = 174      errA=1.9972168293575574e-9      err2_a=6.287932722252482e-18      err2_b=9.81920601806455e-9
iter = 175      errA=1.9972168299859665e-9      err2_a=6.28803109973697e-18      err2_b=9.819206022074401e-9
iter = 176      errA=1.9972168300602415e-9      err2_a=6.288064066735861e-18      err2_b=9.8192060225499e-9
iter = 177      errA=1.997216830584215e-9      err2_a=6.288227444493928e-18      err2_b=9.819206025888804e-9
iter = 178      errA=1.9972168307616766e-9      err2_a=6.294694260207294e-18      err2_b=9.819206027011449e-9
iter = 179      errA=1.997216832495882e-9      err2_a=6.296349447601952e-18      err2_b=9.819206037906254e-9
iter = 180      errA=1.9972168329458896e-9      err2_a=6.296380068251808e-18      err2_b=9.819206040734036e-9
iter = 181      errA=1.9972168330018794e-9      err2_a=6.2879994792441816e-18      err2_b=9.819206041105953e-9
iter = 182      errA=1.9972168339450704e-9      err2_a=6.28819042314475e-18      err2_b=9.819206047035445e-9
iter = 183      errA=1.9972168341434155e-9      err2_a=6.288254901599156e-18      err2_b=9.81920604823369e-9
iter = 184      errA=1.9972168343286337e-9      err2_a=6.28825284785615e-18      err2_b=9.819206049401654e-9
iter = 185      errA=1.9972168344350533e-9      err2_a=6.296831931349651e-18      err2_b=9.819206050057255e-9
iter = 186      errA=1.997216834488594e-9      err2_a=6.288713472202329e-18      err2_b=9.819206050414975e-9
iter = 187      errA=1.9972168354880245e-9      err2_a=6.288094650908858e-18      err2_b=9.819206056733765e-9
iter = 188      errA=1.997216835650251e-9      err2_a=6.286633884705421e-18      err2_b=9.819206057763406e-9
iter = 189      errA=1.9972168357760955e-9      err2_a=6.294530823301379e-18      err2_b=9.819206058569736e-9
iter = 190      errA=1.997216836119101e-9      err2_a=6.2863122340255374e-18      err2_b=9.819206060707673e-9
iter = 191      errA=1.9972168363354015e-9      err2_a=6.2944052017440406e-18      err2_b=9.819206062091746e-9
iter = 192      errA=1.9972168378419783e-9      err2_a=6.2881074509694635e-18      err2_b=9.819206071687707e-9
iter = 193      errA=1.997216837951011e-9      err2_a=6.286728765277329e-18      err2_b=9.819206072370963e-9
iter = 194      errA=1.9972168380800917e-9      err2_a=6.2866017023908034e-18      err2_b=9.819206073241703e-9
iter = 195      errA=1.997216838942929e-9      err2_a=6.277854972543102e-18      err2_b=9.819206078756827e-9
iter = 196      errA=1.997216839029236e-9      err2_a=6.296361497095022e-18      err2_b=9.819206079302935e-9
iter = 197      errA=1.9972168392503066e-9      err2_a=6.2860162303665375e-18      err2_b=9.819206080751025e-9
iter = 198      errA=1.997216839303169e-9      err2_a=6.2858226066827515e-18      err2_b=9.819206081078634e-9
iter = 199      errA=1.9972168395051833e-9      err2_a=6.2866027556185454e-18      err2_b=9.819206082406293e-9
iter = 200      errA=1.99721684051339e-9      err2_a=6.288474434489469e-18      err2_b=9.819206088883514e-9
iter = 201      errA=1.997216840599649e-9      err2_a=6.2961379354609666e-18      err2_b=9.819206089395313e-9
iter = 202      errA=1.9972168409761826e-9      err2_a=6.296609839421603e-18      err2_b=9.81920609181648e-9
iter = 203      errA=1.997216841104251e-9      err2_a=6.288094763906672e-18      err2_b=9.819206092643801e-9
iter = 204      errA=1.997216842460082e-9      err2_a=6.28871627243575e-18      err2_b=9.819206101275972e-9
iter = 205      errA=1.9972168451337027e-9      err2_a=6.288507216454109e-18      err2_b=9.819206118277126e-9
iter = 206      errA=1.9972168453133445e-9      err2_a=6.2945990084373705e-18      err2_b=9.819206119427473e-9
iter = 207      errA=1.99721684673322e-9      err2_a=6.296613255042549e-18      err2_b=9.81920612846448e-9
iter = 208      errA=1.997216847203748e-9      err2_a=6.288557328754734e-18      err2_b=9.81920613144653e-9
iter = 209      errA=1.9972168512555622e-9      err2_a=6.288558097559021e-18      err2_b=9.81920615719456e-9
iter = 210      errA=1.997216853012965e-9      err2_a=6.2887167049741894e-18      err2_b=9.81920616831669e-9
iter = 211      errA=1.997216853158192e-9      err2_a=6.288684805856801e-18      err2_b=9.819206169262082e-9
iter = 212      errA=1.9972168543598867e-9      err2_a=6.288904611413853e-18      err2_b=9.819206176918297e-9
iter = 213      errA=1.9972168546327417e-9      err2_a=6.297739786028649e-18      err2_b=9.819206178669442e-9
iter = 214      errA=1.9972168558899057e-9      err2_a=6.294601002296538e-18      err2_b=9.819206186649913e-9
iter = 215      errA=1.9972168560495148e-9      err2_a=6.286669685009218e-18      err2_b=9.819206187661837e-9
iter = 216      errA=1.9972168561198785e-9      err2_a=6.2860533344747734e-18      err2_b=9.819206188116412e-9
iter = 217      errA=1.9972168565503437e-9      err2_a=6.2886510293801495e-18      err2_b=9.819206190864198e-9
iter = 218      errA=1.997216856605305e-9      err2_a=6.285856796839164e-18      err2_b=9.819206191236135e-9
iter = 219      errA=1.9972168567844275e-9      err2_a=6.286704156887784e-18      err2_b=9.819206192386856e-9
iter = 220      errA=1.9972168568025076e-9      err2_a=6.280188995973277e-18      err2_b=9.819206192484994e-9
iter = 221      errA=1.9972168569470558e-9      err2_a=6.286082735722985e-18      err2_b=9.819206193430493e-9
iter = 222      errA=1.997216857001627e-9      err2_a=6.296798064701433e-18      err2_b=9.819206193802839e-9
iter = 223      errA=1.997216857038797e-9      err2_a=6.280158390246255e-18      err2_b=9.819206194040264e-9
iter = 224      errA=1.9972168570520643e-9      err2_a=6.2963423050533784e-18      err2_b=9.819206194106937e-9
iter = 225      errA=1.9972168571273878e-9      err2_a=6.294368699179223e-18      err2_b=9.81920619463037e-9
iter = 226      errA=1.997216857271236e-9      err2_a=6.2881889789366305e-18      err2_b=9.819206195578681e-9
iter = 227      errA=1.9972168572893832e-9      err2_a=6.2963143648009536e-18      err2_b=9.819206195673569e-9
iter = 228      errA=1.9972168573473736e-9      err2_a=6.296409814684684e-18      err2_b=9.81920619606636e-9
iter = 229      errA=1.9972168573980243e-9      err2_a=6.2964742121017865e-18      err2_b=9.819206196364642e-9
iter = 230      errA=1.9972168580127767e-9      err2_a=6.285949748052441e-18      err2_b=9.819206200460087e-9
iter = 231      errA=1.9972168580446984e-9      err2_a=6.296766170460139e-18      err2_b=9.81920620066627e-9
iter = 232      errA=1.997216858114956e-9      err2_a=6.296606936093021e-18      err2_b=9.819206201123718e-9
iter = 233      errA=1.9972168581309374e-9      err2_a=6.2966047062108185e-18      err2_b=9.819206201256785e-9
iter = 234      errA=1.9972168584237667e-9      err2_a=6.296377571831577e-18      err2_b=9.819206203267982e-9
iter = 235      errA=1.9972168584581766e-9      err2_a=6.2885809629427234e-18      err2_b=9.819206203497968e-9
iter = 236      errA=1.9972168585108473e-9      err2_a=6.2887789947385376e-18      err2_b=9.819206203845155e-9
iter = 237      errA=1.9972168585789222e-9      err2_a=6.288647743549377e-18      err2_b=9.819206204318471e-9
iter = 238      errA=1.9972168587945447e-9      err2_a=6.2944641294412914e-18      err2_b=9.819206205821603e-9
iter = 239      errA=1.997216859133561e-9      err2_a=6.286474006166835e-18      err2_b=9.819206208142999e-9
iter = 240      errA=1.997216859185971e-9      err2_a=6.288712182926632e-18      err2_b=9.81920620852946e-9
iter = 241      errA=1.997216859331172e-9      err2_a=6.287928400760067e-18      err2_b=9.819206209529446e-9
iter = 242      errA=1.997216859406471e-9      err2_a=6.296573455331594e-18      err2_b=9.819206210039754e-9
