=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_1000_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 647190228.579261
||xbar||_A = 31928.356634
i=288, err2=9.49571e-05, errA = 0.00206963
i=289, err2=0.000125207, errA = 0.00203963
i=290, err2=0.000106615, errA = 0.00202462
i=291, err2=5.32051e-05, errA = 0.0020215
i=292, err2=7.39555e-05, errA = 0.00201912
i=293, err2=4.89825e-05, errA = 0.00201325
i=294, err2=5.94728e-05, errA = 0.00201215
i=295, err2=0.000103029, errA = 0.00200358
i=296, err2=5.75121e-05, errA = 0.00199979
i=297, err2=6.07633e-05, errA = 0.0019917
i=298, err2=3.7884e-05, errA = 0.00198728
i=299, err2=4.38501e-05, errA = 0.00198668
i=300, err2=8.48732e-05, errA = 0.00198432
i=301, err2=8.76914e-05, errA = 0.00198059
i=302, err2=8.35264e-05, errA = 0.00197428
i=303, err2=0.000103659, errA = 0.00196954
i=304, err2=0.000144772, errA = 0.00195746
i=305, err2=5.1521e-05, errA = 0.00195289
i=306, err2=0.000119734, errA = 0.00194366
i=307, err2=9.37148e-05, errA = 0.00193743
i=308, err2=9.69946e-05, errA = 0.00192822
i=309, err2=7.65786e-05, errA = 0.00192514
i=310, err2=6.31481e-05, errA = 0.00191971
i=311, err2=4.55677e-05, errA = 0.00191458
i=312, err2=7.17258e-05, errA = 0.00191355
i=313, err2=0.000119902, errA = 0.00188001
i=314, err2=9.90513e-05, errA = 0.00186767
i=315, err2=7.72956e-05, errA = 0.00186478
i=316, err2=6.19602e-05, errA = 0.00185872
i=317, err2=4.18938e-05, errA = 0.0018554
i=318, err2=2.80064e-05, errA = 0.00185386
i=319, err2=3.39541e-05, errA = 0.00185349
i=320, err2=6.17693e-05, errA = 0.00184877
i=321, err2=6.84518e-05, errA = 0.00184346
i=322, err2=5.10773e-05, errA = 0.00184103
i=323, err2=5.7355e-05, errA = 0.00183865
i=324, err2=5.3074e-05, errA = 0.00183403
i=325, err2=8.43038e-05, errA = 0.00183018
i=326, err2=0.000120274, errA = 0.00182535
i=327, err2=6.01885e-05, errA = 0.0018182
i=328, err2=4.5812e-05, errA = 0.00181696
i=329, err2=3.2586e-05, errA = 0.00181549
i=330, err2=5.43671e-05, errA = 0.00181405
i=331, err2=7.01779e-05, errA = 0.00181182
i=332, err2=9.1918e-05, errA = 0.00180578
i=333, err2=0.000121906, errA = 0.00179577
i=334, err2=0.000127833, errA = 0.0017895
i=335, err2=0.000104717, errA = 0.00177569
i=336, err2=1.90975e-05, errA = 0.00177078
i=337, err2=3.64391e-05, errA = 0.00177033
i=338, err2=3.14217e-05, errA = 0.00176967
i=339, err2=5.92026e-05, errA = 0.00176873
i=340, err2=0.000115126, errA = 0.00176157
i=341, err2=5.81339e-05, errA = 0.0017556
i=342, err2=4.15598e-05, errA = 0.00175447
i=343, err2=0.000120398, errA = 0.00174741
i=344, err2=5.47259e-05, errA = 0.00173859
i=345, err2=4.67832e-05, errA = 0.00173667
i=346, err2=3.03273e-05, errA = 0.00173598
i=347, err2=4.1379e-05, errA = 0.00173497
i=348, err2=3.48298e-05, errA = 0.00173222
i=349, err2=2.38363e-05, errA = 0.00173169
i=350, err2=5.19425e-05, errA = 0.00173063
i=351, err2=6.30265e-05, errA = 0.00172589
i=352, err2=9.84152e-05, errA = 0.00172089
i=353, err2=7.32121e-05, errA = 0.00171002
i=354, err2=1.77039e-05, errA = 0.00170695
i=355, err2=5.92286e-05, errA = 0.00170613
i=356, err2=4.40032e-05, errA = 0.00170392
i=357, err2=0.000127521, errA = 0.00168784
i=358, err2=6.46457e-05, errA = 0.00168305
i=359, err2=4.81294e-05, errA = 0.00167014
i=360, err2=0.000127059, errA = 0.00165988
i=361, err2=3.23584e-05, errA = 0.00165613
i=362, err2=7.58e-05, errA = 0.00165243
i=363, err2=5.97331e-05, errA = 0.00165034
i=364, err2=8.71764e-05, errA = 0.00164668
i=365, err2=4.67224e-05, errA = 0.00164225
i=366, err2=3.2964e-05, errA = 0.00164125
i=367, err2=2.44086e-05, errA = 0.0016407
i=368, err2=0.000127627, errA = 0.00163129
i=369, err2=4.78594e-05, errA = 0.00162575
i=370, err2=5.82393e-05, errA = 0.00162382
i=371, err2=1.73906e-05, errA = 0.00162258
i=372, err2=2.09105e-05, errA = 0.00162234
i=373, err2=2.34039e-05, errA = 0.00162209
i=374, err2=4.49562e-05, errA = 0.00161803
i=375, err2=4.53325e-05, errA = 0.00161488
i=376, err2=6.03962e-05, errA = 0.00161295
i=377, err2=9.60367e-05, errA = 0.00160878
i=378, err2=2.55484e-05, errA = 0.00157982
i=379, err2=2.63383e-05, errA = 0.00157926
i=380, err2=6.57076e-05, errA = 0.00157789
i=381, err2=9.3884e-05, errA = 0.0015739
i=382, err2=6.53682e-05, errA = 0.00156813
i=383, err2=5.38206e-05, errA = 0.00156479
i=384, err2=4.2357e-05, errA = 0.00156237
i=385, err2=4.02927e-05, errA = 0.00156088
i=386, err2=4.18209e-05, errA = 0.00155955
i=387, err2=6.87555e-05, errA = 0.00155569
i=388, err2=6.73914e-05, errA = 0.001553
i=389, err2=4.26553e-05, errA = 0.0015512
i=390, err2=3.92452e-05, errA = 0.00154836
i=391, err2=3.68318e-05, errA = 0.0015472
i=392, err2=4.48014e-05, errA = 0.00154609
i=393, err2=3.62706e-05, errA = 0.00154516
i=394, err2=5.1049e-05, errA = 0.00154325
i=395, err2=2.73049e-05, errA = 0.00154145
i=396, err2=2.54032e-05, errA = 0.0015411
