======= 128 bit precision
0.0002732913141311916 error after 140 iterations
0.0002612725808305763 error after 141 iterations
0.0008027694367130174 error after 142 iterations
0.00036937756354745295 error after 143 iterations
0.0002280032278186551 error after 144 iterations
0.0001530774112003048 error after 145 iterations
0.00011394593976084161 error after 146 iterations
0.0007082002861143723 error after 147 iterations
0.0003495132151613435 error after 148 iterations
0.00033387122152184483 error after 149 iterations
0.00022113102245819642 error after 150 iterations
0.00013146746554429273 error after 151 iterations
0.0002510044076014964 error after 152 iterations
0.00026892135877769867 error after 153 iterations
0.00020556328062819733 error after 154 iterations
0.0002522889217298913 error after 155 iterations
0.00015036612993178593 error after 156 iterations
0.00029394951698003436 error after 157 iterations
0.0003754579569188559 error after 158 iterations
0.0002467309310119766 error after 159 iterations
0.0002055304400428651 error after 160 iterations
0.00010743837798094611 error after 161 iterations
0.00028092474373463193 error after 162 iterations
0.00019026958671982476 error after 163 iterations
0.0003100140535686162 error after 164 iterations
0.00013376175128463705 error after 165 iterations
0.00015724371969583285 error after 166 iterations
0.00020586990197716572 error after 167 iterations
0.00016005479102735456 error after 168 iterations
0.0003589332332219355 error after 169 iterations
0.0002501478378647357 error after 170 iterations
0.0005855226105747675 error after 171 iterations
0.00017766251075880535 error after 172 iterations
0.00014412366473323215 error after 173 iterations
0.00023326397170735493 error after 174 iterations
9.927016769011393e-5 error after 175 iterations
0.0002381384011723725 error after 176 iterations
0.0003592306858751898 error after 177 iterations
0.0003405089773516281 error after 178 iterations
0.00014961171268544103 error after 179 iterations
0.00019419736673884422 error after 180 iterations
0.00010699503180847387 error after 181 iterations
0.00013844793502731597 error after 182 iterations
0.00011920599191249381 error after 183 iterations
0.00024300168560939116 error after 184 iterations
0.00016807868903252445 error after 185 iterations
5.1731195119398045e-5 error after 186 iterations
0.00013984483995119911 error after 187 iterations
0.00011383055000024413 error after 188 iterations
0.00012796633624731073 error after 189 iterations
0.00014633536866063643 error after 190 iterations
0.0003677748591121873 error after 191 iterations
0.000121878383829303 error after 192 iterations
0.00016162181157895855 error after 193 iterations
9.352521831791532e-5 error after 194 iterations
6.850256202006158e-5 error after 195 iterations
0.00017273962242855514 error after 196 iterations
0.0001781673447810247 error after 197 iterations
6.0721213750312186e-5 error after 198 iterations
