=========CG using MATLAB default precision=====
====DATA = ../graphs/se_2/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=  1, err2=2.65521e+12, errA = 626992
i=329, err2=4.64662e-16, errA = 4.28556e-15
i=330, err2=3.07503e-16, errA = 4.28582e-15
i=331, err2=3.26073e-16, errA = 4.28602e-15
i=332, err2=7.92247e-16, errA = 4.28621e-15
i=333, err2=1.53481e-15, errA = 4.28614e-15
i=334, err2=5.92769e-16, errA = 4.28566e-15
i=335, err2=2.37267e-16, errA = 4.28537e-15
i=336, err2=2.15729e-16, errA = 4.28518e-15
i=337, err2=3.42793e-16, errA = 4.28493e-15
i=338, err2=4.67256e-16, errA = 4.28464e-15
i=339, err2=3.49487e-16, errA = 4.28447e-15
i=340, err2=1.97754e-16, errA = 4.28444e-15
i=341, err2=1.80391e-16, errA = 4.28449e-15
i=342, err2=4.14465e-16, errA = 4.2846e-15
i=343, err2=1.65051e-15, errA = 4.28475e-15
i=344, err2=8.56805e-16, errA = 4.28444e-15
i=345, err2=3.12049e-16, errA = 4.28421e-15
i=346, err2=3.31645e-16, errA = 4.2841e-15
i=347, err2=5.73472e-16, errA = 4.28415e-15
i=348, err2=5.12848e-16, errA = 4.28444e-15
i=349, err2=2.32712e-16, errA = 4.28475e-15
i=350, err2=1.66777e-16, errA = 4.28495e-15
i=351, err2=3.97749e-16, errA = 4.28519e-15
i=352, err2=1.54999e-15, errA = 4.28576e-15
i=353, err2=4.90668e-16, errA = 4.28566e-15
i=354, err2=3.71089e-16, errA = 4.28538e-15
i=355, err2=8.03399e-16, errA = 4.28498e-15
i=356, err2=6.4686e-16, errA = 4.28466e-15
i=357, err2=2.28082e-16, errA = 4.28474e-15
i=358, err2=2.94813e-16, errA = 4.28489e-15
i=359, err2=3.07544e-15, errA = 4.28567e-15
i=360, err2=4.27159e-16, errA = 4.28551e-15
i=361, err2=3.23467e-16, errA = 4.2853e-15
i=362, err2=1.95707e-15, errA = 4.28498e-15
i=363, err2=9.23312e-15, errA = 4.28504e-15
i=364, err2=4.89855e-15, errA = 4.28647e-15
i=365, err2=2.49559e-15, errA = 4.28736e-15
i=366, err2=6.08447e-15, errA = 4.28777e-15
i=367, err2=4.77696e-15, errA = 4.28653e-15
i=368, err2=7.59186e-16, errA = 4.28554e-15
i=369, err2=4.82032e-16, errA = 4.28517e-15
i=370, err2=1.67184e-15, errA = 4.28467e-15
i=371, err2=8.45573e-15, errA = 4.28342e-15
i=372, err2=1.4942e-14, errA = 4.28158e-15
i=373, err2=6.98911e-15, errA = 4.28124e-15
i=374, err2=4.48143e-15, errA = 4.28177e-15
i=375, err2=8.68411e-15, errA = 4.28272e-15
i=376, err2=1.2613e-14, errA = 4.28389e-15
i=377, err2=3.69422e-15, errA = 4.28382e-15
i=378, err2=8.98731e-16, errA = 4.28349e-15
i=379, err2=6.26971e-16, errA = 4.28327e-15
i=380, err2=1.46723e-15, errA = 4.28307e-15
i=381, err2=4.92549e-15, errA = 4.28298e-15
i=382, err2=9.47978e-15, errA = 4.28356e-15
i=383, err2=7.32008e-15, errA = 4.28484e-15
i=384, err2=4.69772e-15, errA = 4.28593e-15
i=385, err2=6.12373e-15, errA = 4.28679e-15
i=386, err2=1.53678e-14, errA = 4.28769e-15
i=387, err2=2.74769e-14, errA = 4.28801e-15
i=388, err2=1.42863e-14, errA = 4.28691e-15
i=389, err2=3.80299e-15, errA = 4.28588e-15
i=390, err2=1.29541e-15, errA = 4.28532e-15
i=391, err2=9.39889e-16, errA = 4.28493e-15
i=392, err2=1.41555e-15, errA = 4.28449e-15
i=393, err2=2.39563e-15, errA = 4.28389e-15
i=394, err2=2.32317e-15, errA = 4.28341e-15
i=395, err2=1.3116e-15, errA = 4.2833e-15
i=396, err2=8.64184e-16, errA = 4.2834e-15
i=397, err2=1.21229e-15, errA = 4.28361e-15
i=398, err2=3.66478e-15, errA = 4.28402e-15
i=399, err2=1.25115e-14, errA = 4.28477e-15
i=400, err2=1.4731e-14, errA = 4.28514e-15
i=401, err2=4.96078e-15, errA = 4.28466e-15
i=402, err2=1.56349e-15, errA = 4.28427e-15
i=403, err2=1.0181e-15, errA = 4.28408e-15
i=404, err2=1.39857e-15, errA = 4.28403e-15
i=405, err2=1.96905e-15, errA = 4.28428e-15
i=406, err2=1.37384e-15, errA = 4.28483e-15
i=407, err2=5.35262e-16, errA = 4.28531e-15
i=408, err2=2.53825e-16, errA = 4.2856e-15
i=409, err2=3.31739e-16, errA = 4.28581e-15
i=410, err2=1.33826e-15, errA = 4.2862e-15
i=411, err2=7.49394e-15, errA = 4.28724e-15
i=412, err2=8.76081e-15, errA = 4.28809e-15
i=413, err2=3.44532e-15, errA = 4.28758e-15
i=414, err2=3.88863e-15, errA = 4.28678e-15
i=415, err2=8.93241e-15, errA = 4.28542e-15
i=416, err2=6.06317e-15, errA = 4.2844e-15
i=417, err2=1.23306e-15, errA = 4.28453e-15
i=418, err2=4.73494e-16, errA = 4.28479e-15
i=419, err2=1.40334e-15, errA = 4.28511e-15
i=420, err2=1.09006e-14, errA = 4.28558e-15
i=421, err2=6.68203e-15, errA = 4.28427e-15
i=422, err2=2.1654e-15, errA = 4.28339e-15
i=423, err2=3.8605e-15, errA = 4.2831e-15
i=424, err2=4.38758e-15, errA = 4.28404e-15
i=425, err2=8.07341e-16, errA = 4.28516e-15
i=426, err2=4.29775e-16, errA = 4.2856e-15
i=427, err2=2.88389e-15, errA = 4.28626e-15
i=428, err2=5.32363e-15, errA = 4.28696e-15
i=429, err2=5.75e-16, errA = 4.28624e-15
i=430, err2=5.90148e-16, errA = 4.28585e-15
i=431, err2=2.42488e-15, errA = 4.28503e-15
i=432, err2=2.08758e-15, errA = 4.28435e-15
i=433, err2=1.1578e-15, errA = 4.28457e-15
i=434, err2=3.84159e-15, errA = 4.28526e-15
i=435, err2=6.44643e-15, errA = 4.28637e-15
i=436, err2=6.7758e-16, errA = 4.28593e-15
i=437, err2=2.417e-16, errA = 4.28574e-15
i=438, err2=3.15276e-16, errA = 4.28562e-15
i=439, err2=9.45716e-16, errA = 4.28549e-15
i=440, err2=2.27546e-15, errA = 4.28551e-15
i=441, err2=2.00309e-15, errA = 4.28593e-15
i=442, err2=9.71934e-16, errA = 4.28639e-15
i=443, err2=7.90909e-16, errA = 4.28667e-15
i=444, err2=1.50431e-15, errA = 4.28684e-15
i=445, err2=2.10236e-15, errA = 4.28655e-15
i=446, err2=7.08686e-16, errA = 4.28595e-15
i=447, err2=2.03375e-16, errA = 4.28567e-15
i=448, err2=1.09524e-16, errA = 4.28555e-15
i=449, err2=9.7869e-17, errA = 4.28545e-15
i=450, err2=1.26301e-16, errA = 4.28536e-15
i=451, err2=1.99214e-16, errA = 4.28524e-15
i=452, err2=3.05412e-16, errA = 4.2851e-15
