=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/test/1/
====error given as ||Ax - b||_2^2
i=  1, err2=2.65521e+12, errA = 626992
i=165, err2=1.19441e-16, errA = 4.27854e-15
i=166, err2=7.17289e-17, errA = 4.27841e-15
i=167, err2=5.48852e-17, errA = 4.27817e-15
i=168, err2=4.26568e-17, errA = 4.27828e-15
i=169, err2=1.21067e-16, errA = 4.27808e-15
i=170, err2=8.70351e-17, errA = 4.27834e-15
i=171, err2=3.43915e-17, errA = 4.27825e-15
i=172, err2=9.59051e-17, errA = 4.27839e-15
i=173, err2=3.72601e-17, errA = 4.27866e-15
i=174, err2=3.81298e-16, errA = 4.27898e-15
i=175, err2=2.34336e-17, errA = 4.27888e-15
i=176, err2=5.66214e-17, errA = 4.27873e-15
i=177, err2=6.36402e-17, errA = 4.27854e-15
i=178, err2=8.13886e-17, errA = 4.27862e-15
i=179, err2=3.57812e-17, errA = 4.27874e-15
i=180, err2=1.7837e-17, errA = 4.2787e-15
i=181, err2=3.50485e-17, errA = 4.2787e-15
i=182, err2=3.5577e-17, errA = 4.27879e-15
i=183, err2=2.06965e-17, errA = 4.2789e-15
i=184, err2=4.46745e-17, errA = 4.27898e-15
i=185, err2=1.2569e-16, errA = 4.27901e-15
i=186, err2=3.6014e-17, errA = 4.27885e-15
i=187, err2=4.89624e-17, errA = 4.2787e-15
i=188, err2=3.8863e-17, errA = 4.27854e-15
i=189, err2=9.39979e-18, errA = 4.27853e-15
i=190, err2=1.28709e-17, errA = 4.27856e-15
i=191, err2=8.84641e-18, errA = 4.27852e-15
i=192, err2=2.31199e-17, errA = 4.27849e-15
i=193, err2=6.48394e-17, errA = 4.27846e-15
i=194, err2=4.90683e-17, errA = 4.27851e-15
i=195, err2=1.65416e-17, errA = 4.27857e-15
i=196, err2=1.30947e-17, errA = 4.27861e-15
i=197, err2=1.71357e-17, errA = 4.27858e-15
i=198, err2=9.41448e-18, errA = 4.27854e-15
i=199, err2=8.59418e-18, errA = 4.27854e-15
i=200, err2=8.2762e-18, errA = 4.27854e-15
i=201, err2=8.09178e-18, errA = 4.27854e-15
i=202, err2=7.96403e-18, errA = 4.27853e-15
i=203, err2=7.86664e-18, errA = 4.27853e-15
i=204, err2=7.78793e-18, errA = 4.27853e-15
i=205, err2=7.72184e-18, errA = 4.27853e-15
i=206, err2=7.66484e-18, errA = 4.27853e-15
i=207, err2=7.61472e-18, errA = 4.27853e-15
i=208, err2=7.57001e-18, errA = 4.27853e-15
i=209, err2=7.52969e-18, errA = 4.27853e-15
