CG Iteration #1, relres 0.3328201177351375, actualerr(2-norm) 0.9881497862166444, actualerr(A-norm) 0.2400000000000000
CG Iteration #36, relres 0.0000506389107715, actualerr(2-norm) 0.8945900008935886, actualerr(A-norm) 0.0000001772413383
CG Iteration #37, relres 0.0000003839198037, actualerr(2-norm) 0.8944430486163222, actualerr(A-norm) 0.0000001716892887
CG Iteration #38, relres 0.0000154578665670, actualerr(2-norm) 0.8916725490734987, actualerr(A-norm) 0.0000001151948109
CG Iteration #39, relres 0.0000002559742628, actualerr(2-norm) 0.8916436223937744, actualerr(A-norm) 0.0000001144593686
CG Iteration #40, relres 0.0000313539402835, actualerr(2-norm) 0.8891514199169621, actualerr(A-norm) 0.0000000814896025
CG Iteration #41, relres 0.0000001706284267, actualerr(2-norm) 0.8888353826548946, actualerr(A-norm) 0.0000000763061759
CG Iteration #42, relres 0.0000073881700631, actualerr(2-norm) 0.8860519941875076, actualerr(A-norm) 0.0000000512495342
CG Iteration #43, relres 0.0000001137641799, actualerr(2-norm) 0.8860182444605157, actualerr(A-norm) 0.0000000508707528
CG Iteration #44, relres 0.0000161519455510, actualerr(2-norm) 0.8836581783464273, actualerr(A-norm) 0.0000000372413034
CG Iteration #45, relres 0.0000000758345214, actualerr(2-norm) 0.8831921219264853, actualerr(A-norm) 0.0000000339138214
CG Iteration #46, relres 0.0000039906036034, actualerr(2-norm) 0.8804075505200265, actualerr(A-norm) 0.0000000228596782
CG Iteration #47, relres 0.0000000505598597, actualerr(2-norm) 0.8803569280136214, actualerr(A-norm) 0.0000000226092082
CG Iteration #48, relres 0.0000024262450241, actualerr(2-norm) 0.8775546145060533, actualerr(A-norm) 0.0000000152111495
CG Iteration #49, relres 0.0000000337071192, actualerr(2-norm) 0.8775125744678456, actualerr(A-norm) 0.0000000150728027
CG Iteration #50, relres 0.0000020224676857, actualerr(2-norm) 0.8747258015117617, actualerr(A-norm) 0.0000000101943026
CG Iteration #51, relres 0.0000000224716913, actualerr(2-norm) 0.8746589717048895, actualerr(A-norm) 0.0000000100485339
CG Iteration #52, relres 0.0000023412054637, actualerr(2-norm) 0.8746555999353438, actualerr(A-norm) 0.0000000100452405
CG Iteration #53, relres 0.0000035353096281, actualerr(2-norm) 0.8724378714929898, actualerr(A-norm) 0.0000000075787116
CG Iteration #54, relres 0.0000000149796689, actualerr(2-norm) 0.8717960284490645, actualerr(A-norm) 0.0000000066990218
CG Iteration #55, relres 0.0000065966602464, actualerr(2-norm) 0.8717344979952172, actualerr(A-norm) 0.0000000066589756
CG Iteration #56, relres 0.0000020740796634, actualerr(2-norm) 0.8693658386203301, actualerr(A-norm) 0.0000000048762598
CG Iteration #57, relres 0.0000000099864415, actualerr(2-norm) 0.8689236526728298, actualerr(A-norm) 0.0000000044660142
CG Iteration #58, relres 0.0000140296309455, actualerr(2-norm) 0.8666855809405628, actualerr(A-norm) 0.0000000033670206
CG Iteration #59, relres 0.0000005689556090, actualerr(2-norm) 0.8661023079637651, actualerr(A-norm) 0.0000000030161219
CG Iteration #60, relres 0.0000000066580237, actualerr(2-norm) 0.8660417504220541, actualerr(A-norm) 0.0000000029773426
CG Iteration #61, relres 0.0000018644479740, actualerr(2-norm) 0.8641103295466591, actualerr(A-norm) 0.0000000023607588
CG Iteration #62, relres 0.0000014478742723, actualerr(2-norm) 0.8640787413481060, actualerr(A-norm) 0.0000000023493431
CG Iteration #63, relres 0.0000000044383968, actualerr(2-norm) 0.8631502262140768, actualerr(A-norm) 0.0000000019848950
CG Iteration #64, relres 0.0000001601185394, actualerr(2-norm) 0.8602707026758090, actualerr(A-norm) 0.0000000013294272
CG Iteration #65, relres 0.0000004407421767, actualerr(2-norm) 0.8602680901223517, actualerr(A-norm) 0.0000000013286872
CG Iteration #66, relres 0.0000000029594839, actualerr(2-norm) 0.8602489829648656, actualerr(A-norm) 0.0000000013232633
CG Iteration #67, relres 0.0000007988129700, actualerr(2-norm) 0.8573541258420434, actualerr(A-norm) 0.0000000008852322
CG Iteration #68, relres 0.0000000179420118, actualerr(2-norm) 0.8573386111287125, actualerr(A-norm) 0.0000000008823039
CG Iteration #69, relres 0.0000000019846471, actualerr(2-norm) 0.8573379217757283, actualerr(A-norm) 0.0000000008821755
CG Iteration #70, relres 0.0000003576123552, actualerr(2-norm) 0.8548868425812948, actualerr(A-norm) 0.0000000006444634
CG Iteration #71, relres 0.0000004275389015, actualerr(2-norm) 0.8548680775114781, actualerr(A-norm) 0.0000000006423074
CG Iteration #72, relres 0.0000000013150876, actualerr(2-norm) 0.8544169429262618, actualerr(A-norm) 0.0000000005881170
CG Iteration #73, relres 0.0000048442989092, actualerr(2-norm) 0.8521179615070538, actualerr(A-norm) 0.0000000004417055
CG Iteration #74, relres 0.0000001995337125, actualerr(2-norm) 0.8519112044784002, actualerr(A-norm) 0.0000000004261028
CG Iteration #75, relres 0.0000003761130765, actualerr(2-norm) 0.8518861757713551, actualerr(A-norm) 0.0000000004241754
CG Iteration #76, relres 0.0000000008767253, actualerr(2-norm) 0.8514859436520630, actualerr(A-norm) 0.0000000003920780
CG Iteration #77, relres 0.0000005491423373, actualerr(2-norm) 0.8486608109924483, actualerr(A-norm) 0.0000000002677396
CG Iteration #78, relres 0.0000001931960326, actualerr(2-norm) 0.8486551314169267, actualerr(A-norm) 0.0000000002674319
CG Iteration #79, relres 0.0000000668610865, actualerr(2-norm) 0.8486444650074748, actualerr(A-norm) 0.0000000002668531
CG Iteration #80, relres 0.0000000005845017, actualerr(2-norm) 0.8485448203563137, actualerr(A-norm) 0.0000000002613853
CG Iteration #81, relres 0.0000000203499271, actualerr(2-norm) 0.8456112288296441, actualerr(A-norm) 0.0000000001749096
CG Iteration #82, relres 0.0000000622195984, actualerr(2-norm) 0.8456101956123394, actualerr(A-norm) 0.0000000001748717
CG Iteration #83, relres 0.0000000448955663, actualerr(2-norm) 0.8456099555037800, actualerr(A-norm) 0.0000000001748629
CG Iteration #84, relres 0.0000000003897463, actualerr(2-norm) 0.8455934673866539, actualerr(A-norm) 0.0000000001742569
CG Iteration #85, relres 0.0000000793894854, actualerr(2-norm) 0.8440078022532489, actualerr(A-norm) 0.0000000001460347
CG Iteration #86, relres 0.0000001436644357, actualerr(2-norm) 0.8439603494025294, actualerr(A-norm) 0.0000000001451064
CG Iteration #87, relres 0.0000007824008586, actualerr(2-norm) 0.8438922890460860, actualerr(A-norm) 0.0000000001437647
CG Iteration #88, relres 0.0000000002597691, actualerr(2-norm) 0.8426317772700966, actualerr(A-norm) 0.0000000001161713
CG Iteration #89, relres 0.0000000480164665, actualerr(2-norm) 0.8403991776491322, actualerr(A-norm) 0.0000000000886634
CG Iteration #90, relres 0.0000000844945450, actualerr(2-norm) 0.8403638197033952, actualerr(A-norm) 0.0000000000881594
CG Iteration #91, relres 0.0000001339291487, actualerr(2-norm) 0.8396630104220045, actualerr(A-norm) 0.0000000000775023
CG Iteration #92, relres 0.0000000001731799, actualerr(2-norm) 0.8396596405931432, actualerr(A-norm) 0.0000000000774475
CG Iteration #93, relres 0.0000000325686220, actualerr(2-norm) 0.8372123366172664, actualerr(A-norm) 0.0000000000571234
CG Iteration #94, relres 0.0000000398888010, actualerr(2-norm) 0.8371913809164983, actualerr(A-norm) 0.0000000000569184
CG Iteration #95, relres 0.0000002289628870, actualerr(2-norm) 0.8371713039217880, actualerr(A-norm) 0.0000000000567212
CG Iteration #96, relres 0.0000004404004322, actualerr(2-norm) 0.8371554006975076, actualerr(A-norm) 0.0000000000565646
CG Iteration #97, relres 0.0000000001154533, actualerr(2-norm) 0.8366769460315544, actualerr(A-norm) 0.0000000000516317
CG Iteration #98, relres 0.0000000134681044, actualerr(2-norm) 0.8337418225596290, actualerr(A-norm) 0.0000000000348364
CG Iteration #99, relres 0.0000000070695613, actualerr(2-norm) 0.8337380401182753, actualerr(A-norm) 0.0000000000348096
CG Iteration #100, relres 0.0000000308023668, actualerr(2-norm) 0.8337370654720945, actualerr(A-norm) 0.0000000000348026
n = 200 iter = 97 time = 0.168s relres = 0.0000000001154533
