=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 128
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327380
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i= 44, err2=8.42602e-134, errA = 5.7546e-132
i= 45, err2=4.9377e-133, errA = 5.61264e-132
i= 46, err2=2.73291e-133, errA = 5.58672e-132
i= 47, err2=2.36398e-134, errA = 5.5453e-132
i= 48, err2=2.9989e-133, errA = 5.53136e-132
i= 49, err2=3.15409e-134, errA = 5.51928e-132
i= 50, err2=1.40899e-134, errA = 5.51864e-132
i= 51, err2=1.05616e-133, errA = 5.51681e-132
i= 52, err2=2.74373e-134, errA = 5.51532e-132
i= 53, err2=1.79771e-134, errA = 5.51469e-132
i= 54, err2=1.92305e-133, errA = 5.50558e-132
i= 55, err2=2.46359e-134, errA = 5.50111e-132
i= 56, err2=1.10094e-133, errA = 5.4892e-132
i= 57, err2=1.75325e-133, errA = 5.47219e-132
i= 58, err2=1.30642e-134, errA = 5.46929e-132
i= 59, err2=2.51222e-134, errA = 5.46699e-132
i= 60, err2=3.10092e-134, errA = 5.46661e-132
i= 61, err2=8.59644e-135, errA = 5.46651e-132
i= 62, err2=7.36753e-134, errA = 5.46528e-132
i= 63, err2=3.59936e-134, errA = 5.46451e-132
i= 64, err2=9.47673e-135, errA = 5.46343e-132
i= 65, err2=9.52859e-135, errA = 5.46342e-132
i= 66, err2=3.13017e-134, errA = 5.4628e-132
i= 67, err2=2.709e-134, errA = 5.46268e-132
i= 68, err2=1.0657e-134, errA = 5.46235e-132
i= 69, err2=2.46645e-134, errA = 5.46231e-132
i= 70, err2=7.22084e-134, errA = 5.45964e-132
i= 71, err2=1.03207e-133, errA = 5.45843e-132
i= 72, err2=2.9165e-134, errA = 5.45367e-132
i= 73, err2=3.7848e-134, errA = 5.45352e-132
i= 74, err2=9.30704e-134, errA = 5.44965e-132
i= 75, err2=1.79571e-133, errA = 5.44674e-132
i= 76, err2=8.04564e-134, errA = 5.41419e-132
i= 77, err2=4.21212e-134, errA = 5.41366e-132
i= 78, err2=6.09675e-134, errA = 5.41179e-132
i= 79, err2=9.42526e-134, errA = 5.41093e-132
i= 80, err2=1.4731e-133, errA = 5.38384e-132
i= 81, err2=7.48166e-134, errA = 5.38201e-132
i= 82, err2=8.16958e-134, errA = 5.37754e-132
i= 83, err2=1.22148e-133, errA = 5.37602e-132
i= 84, err2=2.67141e-133, errA = 5.30413e-132
i= 85, err2=1.00367e-133, errA = 5.29828e-132
i= 86, err2=5.74204e-134, errA = 5.29322e-132
i= 87, err2=4.08578e-134, errA = 5.29286e-132
i= 88, err2=1.48039e-133, errA = 5.28362e-132
i= 89, err2=7.58574e-134, errA = 5.28151e-132
i= 90, err2=3.92171e-134, errA = 5.27837e-132
i= 91, err2=2.58295e-134, errA = 5.27821e-132
i= 92, err2=1.90414e-133, errA = 5.26994e-132
i= 93, err2=1.63191e-133, errA = 5.26462e-132
i= 94, err2=1.42412e-133, errA = 5.22255e-132
i= 95, err2=5.27553e-134, errA = 5.22091e-132
i= 96, err2=1.42672e-133, errA = 5.2136e-132
i= 97, err2=1.54939e-133, errA = 5.21014e-132
i= 98, err2=1.20184e-133, errA = 5.16942e-132
i= 99, err2=6.47643e-134, errA = 5.16804e-132
i=100, err2=1.37268e-133, errA = 5.15859e-132
