=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327132
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=178, err2=1.27257e-14, errA = 3.50158e-11
i=179, err2=4.44897e-15, errA = 3.50103e-11
i=180, err2=3.33804e-15, errA = 3.50076e-11
i=181, err2=5.08796e-15, errA = 3.50039e-11
i=182, err2=4.9615e-15, errA = 3.50002e-11
i=183, err2=3.21974e-15, errA = 3.50003e-11
i=184, err2=4.41353e-15, errA = 3.50015e-11
i=185, err2=1.34891e-14, errA = 3.50046e-11
i=186, err2=2.19053e-14, errA = 3.49966e-11
i=187, err2=9.56789e-15, errA = 3.49828e-11
i=188, err2=7.78807e-15, errA = 3.49786e-11
i=189, err2=1.20311e-14, errA = 3.49786e-11
i=190, err2=8.03283e-15, errA = 3.49871e-11
i=191, err2=5.38863e-15, errA = 3.49923e-11
i=192, err2=1.12824e-14, errA = 3.49981e-11
i=193, err2=3.95182e-14, errA = 3.50194e-11
i=194, err2=4.22649e-14, errA = 3.50352e-11
i=195, err2=2.72068e-14, errA = 3.50181e-11
i=196, err2=4.17823e-14, errA = 3.49882e-11
i=197, err2=3.20487e-14, errA = 3.49593e-11
i=198, err2=1.0106e-14, errA = 3.49644e-11
i=199, err2=8.19011e-15, errA = 3.49686e-11
i=200, err2=2.19164e-14, errA = 3.49738e-11
i=201, err2=2.43598e-14, errA = 3.49597e-11
i=202, err2=1.88355e-14, errA = 3.49458e-11
i=203, err2=3.74777e-14, errA = 3.49427e-11
i=204, err2=2.37136e-14, errA = 3.49807e-11
i=205, err2=7.08419e-15, errA = 3.49961e-11
i=206, err2=7.47666e-15, errA = 3.50017e-11
i=207, err2=2.08072e-14, errA = 3.50202e-11
i=208, err2=1.45146e-14, errA = 3.50277e-11
i=209, err2=2.14059e-14, errA = 3.50189e-11
i=210, err2=3.88034e-14, errA = 3.50016e-11
i=211, err2=1.08453e-14, errA = 3.50121e-11
i=212, err2=6.2213e-15, errA = 3.50168e-11
i=213, err2=1.67006e-14, errA = 3.50183e-11
i=214, err2=1.4437e-14, errA = 3.49959e-11
