=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 256
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327380
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=506, err2=3.51949e-262, errA = 5.88519e-260
i=507, err2=4.13901e-262, errA = 5.88819e-260
i=508, err2=3.135e-262, errA = 5.89279e-260
i=509, err2=2.26376e-262, errA = 5.89416e-260
i=510, err2=3.55927e-262, errA = 5.89626e-260
i=511, err2=2.76976e-262, errA = 5.89898e-260
i=512, err2=3.87616e-262, errA = 5.90116e-260
i=513, err2=4.28272e-262, errA = 5.90759e-260
i=514, err2=2.72997e-262, errA = 5.9102e-260
i=515, err2=3.50505e-262, errA = 5.91259e-260
i=516, err2=2.2007e-262, errA = 5.91479e-260
i=517, err2=2.52844e-262, errA = 5.91575e-260
i=518, err2=3.75422e-262, errA = 5.91886e-260
i=519, err2=3.01523e-262, errA = 5.92128e-260
i=520, err2=4.56894e-262, errA = 5.92452e-260
i=521, err2=2.98076e-262, errA = 5.92893e-260
i=522, err2=2.41641e-262, errA = 5.9302e-260
i=523, err2=2.95319e-262, errA = 5.93228e-260
i=524, err2=2.11414e-262, errA = 5.93368e-260
i=525, err2=3.70114e-262, errA = 5.93541e-260
i=526, err2=3.83737e-262, errA = 5.9404e-260
i=527, err2=3.38926e-262, errA = 5.94291e-260
i=528, err2=4.31777e-262, errA = 5.94757e-260
i=529, err2=2.3728e-262, errA = 5.95031e-260
i=530, err2=3.17782e-262, errA = 5.95177e-260
i=531, err2=3.4762e-262, errA = 5.95524e-260
i=532, err2=3.41331e-262, errA = 5.95739e-260
i=533, err2=6.25944e-262, errA = 5.96367e-260
i=534, err2=4.1662e-262, errA = 5.97127e-260
i=535, err2=4.51414e-262, errA = 5.97477e-260
i=536, err2=4.05183e-262, errA = 5.98064e-260
i=537, err2=2.80522e-262, errA = 5.98286e-260
i=538, err2=4.90753e-262, errA = 5.98631e-260
i=539, err2=4.25448e-262, errA = 5.99263e-260
i=540, err2=5.44725e-262, errA = 5.99709e-260
i=541, err2=6.4502e-262, errA = 6.00961e-260
i=542, err2=3.70015e-262, errA = 6.01512e-260
i=543, err2=4.84255e-262, errA = 6.01918e-260
i=544, err2=3.46809e-262, errA = 6.02423e-260
i=545, err2=4.03105e-262, errA = 6.02667e-260
i=546, err2=6.68673e-262, errA = 6.03526e-260
i=547, err2=4.87991e-262, errA = 6.04269e-260
i=548, err2=6.71331e-262, errA = 6.04978e-260
i=549, err2=4.41725e-262, errA = 6.05973e-260
i=550, err2=3.38497e-262, errA = 6.06238e-260
i=551, err2=4.64854e-262, errA = 6.06659e-260
i=552, err2=3.31306e-262, errA = 6.07019e-260
i=553, err2=5.26411e-262, errA = 6.07377e-260
i=554, err2=5.38162e-262, errA = 6.08392e-260
i=555, err2=3.98914e-262, errA = 6.08811e-260
i=556, err2=4.91505e-262, errA = 6.0934e-260
i=557, err2=2.63575e-262, errA = 6.09687e-260
i=558, err2=3.14785e-262, errA = 6.09832e-260
i=559, err2=3.85503e-262, errA = 6.10215e-260
i=560, err2=3.38867e-262, errA = 6.10459e-260
i=561, err2=5.6163e-262, errA = 6.10944e-260
i=562, err2=3.44503e-262, errA = 6.11516e-260
i=563, err2=3.15139e-262, errA = 6.11703e-260
i=564, err2=3.10896e-262, errA = 6.12002e-260
i=565, err2=2.11952e-262, errA = 6.12135e-260
i=566, err2=3.75625e-262, errA = 6.12317e-260
i=567, err2=3.37587e-262, errA = 6.12711e-260
i=568, err2=3.60406e-262, errA = 6.12933e-260
i=569, err2=4.20914e-262, errA = 6.13452e-260
i=570, err2=2.24867e-262, errA = 6.13682e-260
i=571, err2=2.99639e-262, errA = 6.1382e-260
i=572, err2=2.4865e-262, errA = 6.14039e-260
i=573, err2=2.65997e-262, errA = 6.14152e-260
i=574, err2=4.63943e-262, errA = 6.14537e-260
i=575, err2=3.14168e-262, errA = 6.14901e-260
i=576, err2=3.92583e-262, errA = 6.15146e-260
i=577, err2=2.76818e-262, errA = 6.15502e-260
i=578, err2=1.97968e-262, errA = 6.15601e-260
i=579, err2=3.09635e-262, errA = 6.1577e-260
i=580, err2=2.35138e-262, errA = 6.15961e-260
i=581, err2=3.79433e-262, errA = 6.16151e-260
i=582, err2=3.82858e-262, errA = 6.16699e-260
i=583, err2=2.61834e-262, errA = 6.16902e-260
i=584, err2=3.37234e-262, errA = 6.17153e-260
i=585, err2=2.01128e-262, errA = 6.17339e-260
i=586, err2=2.93879e-262, errA = 6.17452e-260
i=587, err2=3.91632e-262, errA = 6.17839e-260
i=588, err2=3.4909e-262, errA = 6.18101e-260
i=589, err2=5.65681e-262, errA = 6.18655e-260
i=590, err2=3.21425e-262, errA = 6.19218e-260
i=591, err2=3.29625e-262, errA = 6.19408e-260
i=592, err2=3.44305e-262, errA = 6.19771e-260
i=593, err2=2.70309e-262, errA = 6.19953e-260
i=594, err2=5.5044e-262, errA = 6.20367e-260
i=595, err2=4.45826e-262, errA = 6.21177e-260
i=596, err2=5.06557e-262, errA = 6.21613e-260
i=597, err2=4.84963e-262, errA = 6.22506e-260
i=598, err2=2.77145e-262, errA = 6.22804e-260
i=599, err2=4.24583e-262, errA = 6.23089e-260
i=600, err2=3.42201e-262, errA = 6.23526e-260
i=601, err2=4.58625e-262, errA = 6.23821e-260
i=602, err2=6.38902e-262, errA = 6.24865e-260
i=603, err2=3.93499e-262, errA = 6.25441e-260
i=604, err2=4.9615e-262, errA = 6.259e-260
i=605, err2=2.79769e-262, errA = 6.26364e-260
i=606, err2=2.82482e-262, errA = 6.26506e-260
i=607, err2=4.29432e-262, errA = 6.26913e-260
i=608, err2=3.26306e-262, errA = 6.27231e-260
i=609, err2=5.47461e-262, errA = 6.27695e-260
i=610, err2=3.33413e-262, errA = 6.28384e-260
i=611, err2=2.72745e-262, errA = 6.28558e-260
i=612, err2=3.02115e-262, errA = 6.28821e-260
i=613, err2=1.91619e-262, errA = 6.28953e-260
i=614, err2=3.31585e-262, errA = 6.29101e-260
i=615, err2=3.13021e-262, errA = 6.29458e-260
i=616, err2=3.01052e-262, errA = 6.29635e-260
i=617, err2=3.54074e-262, errA = 6.29971e-260
i=618, err2=1.71166e-262, errA = 6.30134e-260
i=619, err2=1.99751e-262, errA = 6.30203e-260
i=620, err2=1.67243e-262, errA = 6.30322e-260
i=621, err2=1.6627e-262, errA = 6.30376e-260
i=622, err2=2.99994e-262, errA = 6.30547e-260
i=623, err2=1.81199e-262, errA = 6.30707e-260
i=624, err2=2.15376e-262, errA = 6.30793e-260
i=625, err2=1.47895e-262, errA = 6.30916e-260
i=626, err2=1.13658e-262, errA = 6.30949e-260
i=627, err2=1.87075e-262, errA = 6.31008e-260
i=628, err2=1.46307e-262, errA = 6.31078e-260
i=629, err2=2.01225e-262, errA = 6.31136e-260
i=630, err2=2.16656e-262, errA = 6.31288e-260
i=631, err2=1.38101e-262, errA = 6.31353e-260
i=632, err2=1.70767e-262, errA = 6.31407e-260
i=633, err2=1.0443e-262, errA = 6.3146e-260
i=634, err2=1.03699e-262, errA = 6.3148e-260
i=635, err2=1.60784e-262, errA = 6.31541e-260
i=636, err2=1.1946e-262, errA = 6.31591e-260
i=637, err2=1.85458e-262, errA = 6.3165e-260
i=638, err2=1.13624e-262, errA = 6.3173e-260
i=639, err2=8.76653e-263, errA = 6.3175e-260
i=640, err2=1.10986e-262, errA = 6.31783e-260
i=641, err2=8.24051e-263, errA = 6.31806e-260
i=642, err2=1.39887e-262, errA = 6.31833e-260
i=643, err2=1.44652e-262, errA = 6.319e-260
i=644, err2=1.18329e-262, errA = 6.31934e-260
i=645, err2=1.47288e-262, errA = 6.31986e-260
i=646, err2=7.8958e-263, errA = 6.32023e-260
i=647, err2=8.97142e-263, errA = 6.32038e-260
i=648, err2=1.04475e-262, errA = 6.32071e-260
i=649, err2=8.42539e-263, errA = 6.32093e-260
i=650, err2=1.65594e-262, errA = 6.32142e-260
i=651, err2=1.10758e-262, errA = 6.32222e-260
i=652, err2=1.14581e-262, errA = 6.32252e-260
i=653, err2=1.15367e-262, errA = 6.32306e-260
i=654, err2=7.48132e-263, errA = 6.32328e-260
i=655, err2=1.33312e-262, errA = 6.32359e-260
i=656, err2=1.26442e-262, errA = 6.32423e-260
i=657, err2=1.48107e-262, errA = 6.32465e-260
i=658, err2=1.92262e-262, errA = 6.32571e-260
i=659, err2=1.0558e-262, errA = 6.32632e-260
i=660, err2=1.21027e-262, errA = 6.32663e-260
i=661, err2=9.09563e-263, errA = 6.32711e-260
i=662, err2=8.79804e-263, errA = 6.3273e-260
i=663, err2=1.62878e-262, errA = 6.32787e-260
i=664, err2=1.10724e-262, errA = 6.32851e-260
i=665, err2=1.43782e-262, errA = 6.32896e-260
i=666, err2=1.03189e-262, errA = 6.3297e-260
i=667, err2=7.51933e-263, errA = 6.32989e-260
i=668, err2=1.14392e-262, errA = 6.33018e-260
i=669, err2=8.78837e-263, errA = 6.33048e-260
i=670, err2=1.16965e-262, errA = 6.33072e-260
i=671, err2=1.49603e-262, errA = 6.33142e-260
i=672, err2=1.03487e-262, errA = 6.33184e-260
i=673, err2=1.28118e-262, errA = 6.33218e-260
i=674, err2=8.27278e-263, errA = 6.33256e-260
i=675, err2=6.55755e-263, errA = 6.33267e-260
i=676, err2=9.64415e-263, errA = 6.33291e-260
i=677, err2=7.23353e-263, errA = 6.33315e-260
i=678, err2=1.16294e-262, errA = 6.3334e-260
i=679, err2=9.31313e-263, errA = 6.33391e-260
i=680, err2=6.35886e-263, errA = 6.33407e-260
i=681, err2=7.86978e-263, errA = 6.33426e-260
i=682, err2=5.44044e-263, errA = 6.3344e-260
i=683, err2=7.9704e-263, errA = 6.3345e-260
i=684, err2=9.82318e-263, errA = 6.33478e-260
i=685, err2=7.97527e-263, errA = 6.33497e-260
i=686, err2=1.07145e-262, errA = 6.33522e-260
i=687, err2=6.77764e-263, errA = 6.33551e-260
i=688, err2=5.88923e-263, errA = 6.3356e-260
i=689, err2=7.01764e-263, errA = 6.33574e-260
i=690, err2=4.58327e-263, errA = 6.33583e-260
i=691, err2=7.24221e-263, errA = 6.33594e-260
i=692, err2=7.14928e-263, errA = 6.33628e-260
i=693, err2=6.29866e-263, errA = 6.33642e-260
i=694, err2=7.79539e-263, errA = 6.33666e-260
i=695, err2=4.19644e-263, errA = 6.33679e-260
i=696, err2=5.91988e-263, errA = 6.33687e-260
i=697, err2=6.42106e-263, errA = 6.33707e-260
i=698, err2=7.18209e-263, errA = 6.3372e-260
i=699, err2=1.13322e-262, errA = 6.33757e-260
i=700, err2=6.77283e-263, errA = 6.33788e-260
i=701, err2=7.06092e-263, errA = 6.33802e-260
i=702, err2=5.18954e-263, errA = 6.33825e-260
i=703, err2=4.39128e-263, errA = 6.33832e-260
i=704, err2=8.56027e-263, errA = 6.33852e-260
i=705, err2=6.09092e-263, errA = 6.33879e-260
i=706, err2=9.75396e-263, errA = 6.33905e-260
i=707, err2=6.64275e-263, errA = 6.33964e-260
i=708, err2=5.50681e-263, errA = 6.33977e-260
i=709, err2=8.57551e-263, errA = 6.34004e-260
i=710, err2=6.46537e-263, errA = 6.34026e-260
i=711, err2=1.21559e-262, errA = 6.34058e-260
i=712, err2=1.38384e-262, errA = 6.34172e-260
i=713, err2=1.26089e-262, errA = 6.3423e-260
i=714, err2=1.62704e-262, errA = 6.3434e-260
i=715, err2=8.23903e-263, errA = 6.34406e-260
i=716, err2=1.07153e-262, errA = 6.34437e-260
i=717, err2=1.12123e-262, errA = 6.34525e-260
i=718, err2=1.29092e-262, errA = 6.34577e-260
i=719, err2=2.57292e-262, errA = 6.34829e-260
i=720, err2=1.37024e-262, errA = 6.35027e-260
i=721, err2=1.76887e-262, errA = 6.35134e-260
i=722, err2=1.0922e-262, errA = 6.35276e-260
i=723, err2=1.19267e-262, errA = 6.3532e-260
i=724, err2=2.1924e-262, errA = 6.3549e-260
i=725, err2=1.70439e-262, errA = 6.35648e-260
i=726, err2=2.84554e-262, errA = 6.35868e-260
i=727, err2=1.78256e-262, errA = 6.36233e-260
i=728, err2=1.41696e-262, errA = 6.36319e-260
i=729, err2=1.67965e-262, errA = 6.36458e-260
i=730, err2=1.05326e-262, errA = 6.36535e-260
i=731, err2=2.13244e-262, errA = 6.36643e-260
i=732, err2=2.00826e-262, errA = 6.36982e-260
i=733, err2=2.06816e-262, errA = 6.37135e-260
i=734, err2=2.23122e-262, errA = 6.37479e-260
i=735, err2=1.10953e-262, errA = 6.37595e-260
i=736, err2=1.74309e-262, errA = 6.37682e-260
i=737, err2=1.49026e-262, errA = 6.37842e-260
i=738, err2=2.02493e-262, errA = 6.37946e-260
i=739, err2=3.05435e-262, errA = 6.38374e-260
i=740, err2=1.83651e-262, errA = 6.38617e-260
i=741, err2=2.33359e-262, errA = 6.38803e-260
i=742, err2=1.31709e-262, errA = 6.38999e-260
i=743, err2=1.39099e-262, errA = 6.39056e-260
i=744, err2=2.24944e-262, errA = 6.39256e-260
i=745, err2=1.74607e-262, errA = 6.39419e-260
i=746, err2=3.17411e-262, errA = 6.39703e-260
i=747, err2=1.88889e-262, errA = 6.40144e-260
i=748, err2=1.69462e-262, errA = 6.4025e-260
i=749, err2=1.9803e-262, errA = 6.40449e-260
i=750, err2=1.42489e-262, errA = 6.40552e-260
i=751, err2=2.75871e-262, errA = 6.40725e-260
i=752, err2=2.63252e-262, errA = 6.41182e-260
i=753, err2=2.72259e-262, errA = 6.41419e-260
i=754, err2=3.1647e-262, errA = 6.41938e-260
i=755, err2=1.62926e-262, errA = 6.42167e-260
i=756, err2=2.17833e-262, errA = 6.42296e-260
i=757, err2=1.90958e-262, errA = 6.42554e-260
i=758, err2=2.24661e-262, errA = 6.42696e-260
i=759, err2=4.14453e-262, errA = 6.43333e-260
i=760, err2=2.46478e-262, errA = 6.43838e-260
i=761, err2=3.22477e-262, errA = 6.44166e-260
i=762, err2=2.05053e-262, errA = 6.44612e-260
i=763, err2=1.97993e-262, errA = 6.4474e-260
i=764, err2=3.61932e-262, errA = 6.4516e-260
i=765, err2=2.89836e-262, errA = 6.45608e-260
i=766, err2=4.99445e-262, errA = 6.46206e-260
i=767, err2=4.0992e-262, errA = 6.47626e-260
i=768, err2=3.0198e-262, errA = 6.48052e-260
i=769, err2=3.93216e-262, errA = 6.48674e-260
i=770, err2=2.4279e-262, errA = 6.49112e-260
i=771, err2=4.12435e-262, errA = 6.49496e-260
i=772, err2=5.1878e-262, errA = 6.51032e-260
i=773, err2=4.63932e-262, errA = 6.51891e-260
i=774, err2=6.7155e-262, errA = 6.53748e-260
i=775, err2=3.15396e-262, errA = 6.54925e-260
i=776, err2=3.74455e-262, errA = 6.55334e-260
i=777, err2=3.7612e-262, errA = 6.56238e-260
i=778, err2=3.61483e-262, errA = 6.56688e-260
i=779, err2=7.19134e-262, errA = 6.58177e-260
i=780, err2=4.49053e-262, errA = 6.59921e-260
i=781, err2=4.98858e-262, errA = 6.60698e-260
i=782, err2=3.69346e-262, errA = 6.61929e-260
i=783, err2=2.41892e-262, errA = 6.62242e-260
i=784, err2=4.16888e-262, errA = 6.62724e-260
i=785, err2=3.17042e-262, errA = 6.63406e-260
i=786, err2=4.58817e-262, errA = 6.63928e-260
i=787, err2=4.68383e-262, errA = 6.65513e-260
i=788, err2=2.73977e-262, errA = 6.66015e-260
i=789, err2=3.58577e-262, errA = 6.66463e-260
i=790, err2=2.11077e-262, errA = 6.66849e-260
i=791, err2=2.73572e-262, errA = 6.67031e-260
i=792, err2=4.02758e-262, errA = 6.67742e-260
i=793, err2=3.13617e-262, errA = 6.68204e-260
i=794, err2=4.70044e-262, errA = 6.68881e-260
i=795, err2=2.41075e-262, errA = 6.6955e-260
i=796, err2=2.12144e-262, errA = 6.69706e-260
i=797, err2=2.40225e-262, errA = 6.70006e-260
i=798, err2=1.8125e-262, errA = 6.70163e-260
i=799, err2=3.68971e-262, errA = 6.70482e-260
i=800, err2=2.69228e-262, errA = 6.71113e-260
i=801, err2=2.59545e-262, errA = 6.71345e-260
i=802, err2=2.39892e-262, errA = 6.71764e-260
i=803, err2=1.37765e-262, errA = 6.71892e-260
i=804, err2=2.31444e-262, errA = 6.72022e-260
i=805, err2=2.02202e-262, errA = 6.72269e-260
i=806, err2=2.48446e-262, errA = 6.72427e-260
i=807, err2=3.44724e-262, errA = 6.7298e-260
i=808, err2=1.89267e-262, errA = 6.73263e-260
i=809, err2=2.36814e-262, errA = 6.73433e-260
i=810, err2=1.44957e-262, errA = 6.73634e-260
i=811, err2=1.42398e-262, errA = 6.73698e-260
i=812, err2=2.6226e-262, errA = 6.73952e-260
i=813, err2=1.91968e-262, errA = 6.74178e-260
i=814, err2=3.2175e-262, errA = 6.74473e-260
i=815, err2=1.70551e-262, errA = 6.74872e-260
i=816, err2=1.41643e-262, errA = 6.74953e-260
i=817, err2=1.79266e-262, errA = 6.7512e-260
i=818, err2=1.40506e-262, errA = 6.75216e-260
i=819, err2=3.04077e-262, errA = 6.75425e-260
i=820, err2=2.49904e-262, errA = 6.75898e-260
i=821, err2=2.50001e-262, errA = 6.76106e-260
i=822, err2=2.43343e-262, errA = 6.76517e-260
i=823, err2=1.32927e-262, errA = 6.76652e-260
i=824, err2=2.23207e-262, errA = 6.76781e-260
i=825, err2=1.86192e-262, errA = 6.77026e-260
i=826, err2=2.58477e-262, errA = 6.77197e-260
i=827, err2=3.67292e-262, errA = 6.77977e-260
i=828, err2=2.0599e-262, errA = 6.78315e-260
i=829, err2=2.77099e-262, errA = 6.78588e-260
i=830, err2=1.49572e-262, errA = 6.78833e-260
i=831, err2=1.87023e-262, errA = 6.78926e-260
i=832, err2=2.8244e-262, errA = 6.79304e-260
i=833, err2=2.31718e-262, errA = 6.79549e-260
i=834, err2=3.71145e-262, errA = 6.80001e-260
i=835, err2=1.74365e-262, errA = 6.8041e-260
i=836, err2=1.59756e-262, errA = 6.80503e-260
i=837, err2=1.43855e-262, errA = 6.80665e-260
i=838, err2=1.11805e-262, errA = 6.80724e-260
i=839, err2=2.45319e-262, errA = 6.80889e-260
i=840, err2=1.58414e-262, errA = 6.81131e-260
i=841, err2=1.91681e-262, errA = 6.81249e-260
i=842, err2=1.27603e-262, errA = 6.81454e-260
i=843, err2=8.48396e-263, errA = 6.81494e-260
i=844, err2=1.44628e-262, errA = 6.8156e-260
i=845, err2=1.08127e-262, errA = 6.81633e-260
i=846, err2=1.70149e-262, errA = 6.81702e-260
i=847, err2=1.87463e-262, errA = 6.81925e-260
i=848, err2=1.26137e-262, errA = 6.82014e-260
i=849, err2=1.58276e-262, errA = 6.82107e-260
i=850, err2=7.9446e-263, errA = 6.82177e-260
i=851, err2=9.01851e-263, errA = 6.82201e-260
i=852, err2=1.23884e-262, errA = 6.82287e-260
i=853, err2=1.06817e-262, errA = 6.8234e-260
i=854, err2=1.89894e-262, errA = 6.82466e-260
i=855, err2=9.14171e-263, errA = 6.8258e-260
i=856, err2=9.36744e-263, errA = 6.82611e-260
i=857, err2=8.89614e-263, errA = 6.8267e-260
i=858, err2=8.04097e-263, errA = 6.82695e-260
i=859, err2=1.60204e-262, errA = 6.82761e-260
i=860, err2=1.26284e-262, errA = 6.82864e-260
i=861, err2=1.42939e-262, errA = 6.82926e-260
i=862, err2=1.34436e-262, errA = 6.83048e-260
i=863, err2=7.91377e-263, errA = 6.8309e-260
i=864, err2=1.12025e-262, errA = 6.83126e-260
i=865, err2=8.67818e-263, errA = 6.83179e-260
i=866, err2=1.03691e-262, errA = 6.8321e-260
i=867, err2=1.70403e-262, errA = 6.83347e-260
i=868, err2=1.04843e-262, errA = 6.83435e-260
i=869, err2=1.43496e-262, errA = 6.83504e-260
i=870, err2=8.66439e-263, errA = 6.83582e-260
i=871, err2=8.41725e-263, errA = 6.83606e-260
i=872, err2=1.37491e-262, errA = 6.8368e-260
i=873, err2=1.13401e-262, errA = 6.83746e-260
i=874, err2=1.89988e-262, errA = 6.83839e-260
i=875, err2=1.41624e-262, errA = 6.8401e-260
i=876, err2=1.05188e-262, errA = 6.84063e-260
i=877, err2=1.21707e-262, errA = 6.84138e-260
i=878, err2=7.38388e-263, errA = 6.84182e-260
i=879, err2=1.29433e-262, errA = 6.84224e-260
i=880, err2=1.38673e-262, errA = 6.84355e-260
i=881, err2=1.27752e-262, errA = 6.84423e-260
i=882, err2=1.68405e-262, errA = 6.84585e-260
i=883, err2=8.07134e-263, errA = 6.84664e-260
i=884, err2=1.11139e-262, errA = 6.84702e-260
i=885, err2=1.02162e-262, errA = 6.84773e-260
i=886, err2=1.02696e-262, errA = 6.8481e-260
i=887, err2=1.87575e-262, errA = 6.84931e-260
i=888, err2=1.22508e-262, errA = 6.85056e-260
i=889, err2=1.42535e-262, errA = 6.85123e-260
i=890, err2=1.0354e-262, errA = 6.8522e-260
i=891, err2=6.20526e-263, errA = 6.85246e-260
i=892, err2=9.49352e-263, errA = 6.85279e-260
i=893, err2=6.68097e-263, errA = 6.8532e-260
i=894, err2=1.07541e-262, errA = 6.85353e-260
i=895, err2=9.6201e-263, errA = 6.85442e-260
i=896, err2=5.74416e-263, errA = 6.85466e-260
i=897, err2=7.10384e-263, errA = 6.85492e-260
i=898, err2=4.42705e-263, errA = 6.85509e-260
i=899, err2=6.63944e-263, errA = 6.8552e-260
i=900, err2=8.29493e-263, errA = 6.85551e-260
i=901, err2=6.87351e-263, errA = 6.85571e-260
i=902, err2=9.61387e-263, errA = 6.85601e-260
i=903, err2=6.04581e-263, errA = 6.85635e-260
i=904, err2=5.28381e-263, errA = 6.85645e-260
i=905, err2=5.95181e-263, errA = 6.8566e-260
i=906, err2=3.80161e-263, errA = 6.85669e-260
i=907, err2=5.62815e-263, errA = 6.85678e-260
i=908, err2=5.51192e-263, errA = 6.85707e-260
i=909, err2=5.18667e-263, errA = 6.85718e-260
i=910, err2=6.14147e-263, errA = 6.8574e-260
i=911, err2=3.47401e-263, errA = 6.85749e-260
i=912, err2=4.50283e-263, errA = 6.85755e-260
i=913, err2=4.5837e-263, errA = 6.85768e-260
i=914, err2=5.2012e-263, errA = 6.85776e-260
i=915, err2=7.72172e-263, errA = 6.85797e-260
i=916, err2=4.95879e-263, errA = 6.85816e-260
i=917, err2=4.88978e-263, errA = 6.85824e-260
i=918, err2=3.62869e-263, errA = 6.85837e-260
i=919, err2=2.89548e-263, errA = 6.85841e-260
i=920, err2=4.55972e-263, errA = 6.85847e-260
i=921, err2=3.10725e-263, errA = 6.85857e-260
i=922, err2=4.44524e-263, errA = 6.85864e-260
i=923, err2=2.80373e-263, errA = 6.85883e-260
i=924, err2=2.52621e-263, errA = 6.85886e-260
i=925, err2=3.82266e-263, errA = 6.85891e-260
i=926, err2=3.03751e-263, errA = 6.85896e-260
i=927, err2=4.1392e-263, errA = 6.85901e-260
i=928, err2=5.59003e-263, errA = 6.8592e-260
i=929, err2=4.39426e-263, errA = 6.85932e-260
i=930, err2=5.6392e-263, errA = 6.85945e-260
i=931, err2=3.42323e-263, errA = 6.85958e-260
i=932, err2=2.27138e-263, errA = 6.85961e-260
i=933, err2=2.55519e-263, errA = 6.85966e-260
i=934, err2=1.91407e-263, errA = 6.85969e-260
i=935, err2=4.80602e-263, errA = 6.85978e-260
i=936, err2=2.64862e-263, errA = 6.85999e-260
i=937, err2=1.84291e-263, errA = 6.86001e-260
i=938, err2=2.47172e-263, errA = 6.86007e-260
i=939, err2=2.53472e-263, errA = 6.8601e-260
i=940, err2=4.4051e-263, errA = 6.86017e-260
i=941, err2=3.74212e-263, errA = 6.86029e-260
i=942, err2=3.47353e-263, errA = 6.86035e-260
i=943, err2=3.4293e-263, errA = 6.86045e-260
i=944, err2=2.39935e-263, errA = 6.8605e-260
i=945, err2=2.85433e-263, errA = 6.86052e-260
i=946, err2=2.41064e-263, errA = 6.86057e-260
i=947, err2=2.11092e-263, errA = 6.86058e-260
i=948, err2=2.50947e-263, errA = 6.86067e-260
i=949, err2=2.10772e-263, errA = 6.8607e-260
i=950, err2=2.80501e-263, errA = 6.86072e-260
i=951, err2=2.60446e-263, errA = 6.86076e-260
i=952, err2=2.53255e-263, errA = 6.86078e-260
i=953, err2=3.23699e-263, errA = 6.86082e-260
i=954, err2=2.96783e-263, errA = 6.86088e-260
i=955, err2=3.10006e-263, errA = 6.86091e-260
i=956, err2=3.48973e-263, errA = 6.86096e-260
i=957, err2=2.70451e-263, errA = 6.861e-260
i=958, err2=2.34612e-263, errA = 6.86102e-260
i=959, err2=2.51951e-263, errA = 6.86106e-260
i=960, err2=2.22223e-263, errA = 6.86109e-260
i=961, err2=2.9352e-263, errA = 6.86112e-260
i=962, err2=3.01213e-263, errA = 6.86119e-260
i=963, err2=2.34152e-263, errA = 6.86123e-260
i=964, err2=2.74486e-263, errA = 6.86127e-260
i=965, err2=2.59978e-263, errA = 6.86132e-260
i=966, err2=2.90485e-263, errA = 6.86135e-260
i=967, err2=3.85711e-263, errA = 6.8614e-260
i=968, err2=3.69299e-263, errA = 6.86148e-260
i=969, err2=3.4058e-263, errA = 6.86153e-260
i=970, err2=3.88342e-263, errA = 6.8616e-260
i=971, err2=3.52761e-263, errA = 6.86169e-260
i=972, err2=3.10957e-263, errA = 6.86174e-260
i=973, err2=3.5424e-263, errA = 6.86179e-260
i=974, err2=3.51028e-263, errA = 6.86186e-260
i=975, err2=2.88737e-263, errA = 6.86191e-260
i=976, err2=3.28178e-263, errA = 6.86196e-260
i=977, err2=3.50285e-263, errA = 6.86207e-260
i=978, err2=3.10515e-263, errA = 6.86214e-260
i=979, err2=3.84936e-263, errA = 6.86221e-260
i=980, err2=3.78139e-263, errA = 6.8623e-260
i=981, err2=3.20997e-263, errA = 6.86236e-260
i=982, err2=3.66965e-263, errA = 6.86242e-260
i=983, err2=4.15237e-263, errA = 6.86252e-260
i=984, err2=3.93461e-263, errA = 6.86261e-260
i=985, err2=4.59664e-263, errA = 6.86269e-260
i=986, err2=5.28378e-263, errA = 6.86283e-260
i=987, err2=4.41176e-263, errA = 6.86295e-260
i=988, err2=3.95697e-263, errA = 6.86303e-260
i=989, err2=4.32193e-263, errA = 6.86312e-260
i=990, err2=3.83378e-263, errA = 6.86324e-260
i=991, err2=3.67936e-263, errA = 6.8633e-260
i=992, err2=4.67864e-263, errA = 6.8634e-260
i=993, err2=4.65205e-263, errA = 6.86356e-260
i=994, err2=3.92696e-263, errA = 6.86366e-260
i=995, err2=4.57488e-263, errA = 6.86378e-260
i=996, err2=4.36376e-263, errA = 6.86396e-260
i=997, err2=3.84473e-263, errA = 6.86405e-260
i=998, err2=4.65905e-263, errA = 6.86415e-260
i=999, err2=5.10987e-263, errA = 6.86429e-260
i=1000, err2=4.50642e-263, errA = 6.86441e-260
