,,,,||xbar||_A,1870.562683,,,,,,,,,,
Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024,,Matlab_default_absolute^2,Matlab_1024_absolute^2,,Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.5083E-11,3.49601E-11,,4.31E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50531E-11,3.49557E-11,,4.30E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50025E-11,3.49649E-11,,4.29E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49703E-11,3.49558E-11,,4.28E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49845E-11,3.4962E-11,,4.28E-15,4.28E-15,,,,,,,
5.41E-12,1.07E-12,1.07E-12,1.23E+137,3.49633E-11,3.49627E-11,,4.28E-15,4.28E-15,,,,,,,
5.41E-12,1.07E-12,1.07E-12,1.23E+137,3.48865E-11,3.49683E-11,,4.26E-15,4.28E-15,,,,,,,
5.41E-12,1.07E-12,1.07E-12,1.23E+137,3.49146E-11,3.49665E-11,,4.27E-15,4.28E-15,,,,,,,
5.41E-12,1.07E-12,1.07E-12,1.23E+137,3.49648E-11,3.49721E-11,,4.28E-15,4.28E-15,,,,,,,
5.41E-12,1.07E-12,1.07E-12,1.23E+137,3.49988E-11,3.49698E-11,,4.29E-15,4.28E-15,,,,,,,
5.42E-12,1.07E-12,1.07E-12,1.23E+137,3.50818E-11,3.49657E-11,,4.31E-15,4.28E-15,,,,,,,
5.42E-12,1.07E-12,1.07E-12,1.23E+137,3.50315E-11,3.49694E-11,,4.29E-15,4.28E-15,,,,,,,
5.77E-12,1.07E-12,1.07E-12,1.23E+137,3.49938E-11,3.49568E-11,,4.28E-15,4.28E-15,,,,,,,
5.81E-12,1.07E-12,1.07E-12,1.23E+137,3.50111E-11,3.49332E-11,,4.29E-15,4.27E-15,,,,,,,
5.90E-12,1.07E-12,1.07E-12,1.23E+137,3.49851E-11,3.49553E-11,,4.28E-15,4.28E-15,,,,,,,
6.33E-12,1.07E-12,1.07E-12,1.23E+137,3.48854E-11,3.4962E-11,,4.26E-15,4.28E-15,,,,,,,
6.33E-12,1.07E-12,1.07E-12,1.23E+137,3.49566E-11,3.49322E-11,,4.28E-15,4.27E-15,,,,,,,
6.33E-12,1.07E-12,1.07E-12,1.23E+137,3.50127E-11,3.49748E-11,,4.29E-15,4.28E-15,,,,,,,
6.35E-12,1.07E-12,1.07E-12,1.23E+137,3.50556E-11,3.49716E-11,,4.30E-15,4.28E-15,,,,,,,
6.35E-12,1.07E-12,1.07E-12,1.23E+137,3.50576E-11,3.49373E-11,,4.30E-15,4.27E-15,,,,,,,
6.36E-12,1.07E-12,1.07E-12,1.23E+137,3.49754E-11,3.49454E-11,,4.28E-15,4.27E-15,,,,,,,
6.38E-12,1.07E-12,1.07E-12,1.23E+137,3.49787E-11,3.4975E-11,,4.28E-15,4.28E-15,,,,,,,
6.38E-12,1.07E-12,1.07E-12,1.23E+137,3.49909E-11,3.49676E-11,,4.28E-15,4.28E-15,,,,,,,
6.38E-12,1.07E-12,1.07E-12,1.23E+137,3.49028E-11,3.4958E-11,,4.26E-15,4.28E-15,,,,,,,
6.38E-12,1.07E-12,1.07E-12,1.23E+137,3.48361E-11,3.49628E-11,,4.25E-15,4.28E-15,,,,,,,
6.38E-12,1.07E-12,1.07E-12,1.23E+137,3.49434E-11,3.49702E-11,,4.27E-15,4.28E-15,,,,,,,
6.38E-12,1.07E-12,1.07E-12,1.23E+137,3.50144E-11,3.49816E-11,,4.29E-15,4.28E-15,,,,,,,
6.39E-12,1.07E-12,1.07E-12,1.23E+137,3.51372E-11,3.49782E-11,,4.32E-15,4.28E-15,,,,,,,
6.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49854E-11,3.49395E-11,,4.28E-15,4.27E-15,,,,,,,
6.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50999E-11,3.49682E-11,,4.31E-15,4.28E-15,,,,,,,
6.40E-12,1.07E-12,1.07E-12,1.23E+137,3.5129E-11,3.49759E-11,,4.32E-15,4.28E-15,,,,,,,
6.89E-12,1.07E-12,1.07E-12,1.51E+138,3.49564E-11,3.49511E-11,,4.28E-15,4.27E-15,,,,,,,
