anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 211      errA=34938.54843643762      err2_a=0.0023011931567902847      err2_b=137.77894901125904
iter = 212      errA=34236.84725388214      err2_a=0.0022773835813203152      err2_b=134.6869486831251
iter = 213      errA=34223.28199146217      err2_a=0.002276927850160958      err2_b=134.62676914238546
iter = 214      errA=33809.71845112529      err2_a=0.0022629130642092513      err2_b=132.8073883733424
iter = 215      errA=33797.20607034597      err2_a=0.0022624918386729563      err2_b=132.75208449378385
iter = 216      errA=33642.254838588146      err2_a=0.0022572661375489275      err2_b=132.06849066300947
iter = 217      errA=32682.488960078936      err2_a=0.002224505054223887      err2_b=127.886632673701
iter = 218      errA=32634.05525089915      err2_a=0.002222875652378558      err2_b=127.67336710370495
iter = 219      errA=32459.449990181434      err2_a=0.0022169457806802653      err2_b=126.9108544822099
iter = 220      errA=32456.53713160605      err2_a=0.0022168468467127084      err2_b=126.89813836649115
iter = 221      errA=32372.92148787888      err2_a=0.002214009033414397      err2_b=126.5329236774118
iter = 222      errA=32290.715894839712      err2_a=0.0022111708145828232      err2_b=126.17918371456193
iter = 223      errA=32094.173203435043      err2_a=0.002204414806713792      err2_b=125.33054562226647
iter = 224      errA=31995.64517772783      err2_a=0.0022010429216916243      err2_b=124.90367203367161
iter = 225      errA=31855.183587831852      err2_a=0.002196229141922666      err2_b=124.29603179782085
iter = 226      errA=31630.331881813257      err2_a=0.002188545324131484      err2_b=123.32136892004796
iter = 227      errA=31624.539107989316      err2_a=0.002188348076291795      err2_b=123.29618962393296
iter = 228      errA=31471.916728909782      err2_a=0.0021831584036000862      err2_b=122.63213881257722
iter = 229      errA=30870.068550620173      err2_a=0.00216279833229893      err2_b=120.00415938230918
iter = 230      errA=29969.155763686747      err2_a=0.0021321353288672896      err2_b=116.09293469187882
iter = 231      errA=29907.86632915902      err2_a=0.002130034715747624      err2_b=115.82839644001939
iter = 232      errA=29889.15529995546      err2_a=0.002129394252407923      err2_b=115.74754875193808
iter = 233      errA=29811.109191239444      err2_a=0.002126726846733879      err2_b=115.40989685348696
iter = 234      errA=29434.620268670817      err2_a=0.002113659399794842      err2_b=113.80165885350499
iter = 235      errA=29380.276433151015      err2_a=0.002111779096196741      err2_b=113.56888366855013
iter = 236      errA=28993.393495773216      err2_a=0.002098489533446959      err2_b=111.90152208522906
iter = 237      errA=28844.725624535673      err2_a=0.0020934297055001695      err2_b=111.25581052698082
iter = 238      errA=28832.409462856565      err2_a=0.0020930104560582083      err2_b=111.2023189729104
iter = 239      errA=28644.221802981363      err2_a=0.002086627688125688      err2_b=110.38248783979213
iter = 240      errA=28606.17132405431      err2_a=0.002085317004811804      err2_b=110.21871079436393
iter = 241      errA=28270.87399641464      err2_a=0.002073632101271271      err2_b=108.78861212809439
iter = 242      errA=28266.307083302556      err2_a=0.0020734729497356497      err2_b=108.76912467614176
iter = 243      errA=28108.258887994492      err2_a=0.002067955100943276      err2_b=108.0955894715762
iter = 244      errA=28107.396001977493      err2_a=0.0020679248128333745      err2_b=108.0919277911785
iter = 245      errA=27409.599156950222      err2_a=0.00204371288186542      err2_b=105.09969661877837
iter = 246      errA=27360.61450408937      err2_a=0.002042031484663972      err2_b=104.88756141183123
iter = 247      errA=27340.976401014712      err2_a=0.0020413345418430137      err2_b=104.8047445658624
iter = 248      errA=26693.75575359374      err2_a=0.0020185079876977683      err2_b=102.05743514087608
iter = 249      errA=26562.989537135156      err2_a=0.00201396659658262      err2_b=101.4944834425414
iter = 250      errA=26562.20784191793      err2_a=0.0020139394687741967      err2_b=101.49111520635384
iter = 251      errA=26205.738501939755      err2_a=0.0020014501254907334      err2_b=99.96511955317328
iter = 252      errA=26197.26501675553      err2_a=0.0020011537793100543      err2_b=99.92875487865011
iter = 253      errA=26134.466755580313      err2_a=0.001998956174942126      err2_b=99.65932007325266
iter = 254      errA=26084.880518568454      err2_a=0.0019971749599072383      err2_b=99.45087658463805
iter = 255      errA=25908.221507738308      err2_a=0.0019908220343015006      err2_b=98.70840296349111
iter = 256      errA=25900.15071913754      err2_a=0.0019905328209333627      err2_b=98.6743646928969
iter = 257      errA=25648.894188949536      err2_a=0.001981575159406296      err2_b=97.60940209803294
iter = 258      errA=25251.12818875889      err2_a=0.0019675052028035283      err2_b=95.90904587172858
iter = 259      errA=25197.287054065877      err2_a=0.0019655707725086203      err2_b=95.68127079391017
iter = 260      errA=24681.007638789284      err2_a=0.0019468762187548592      err2_b=93.50552441509095
iter = 261      errA=24674.752275576684      err2_a=0.0019466520412406707      err2_b=93.47888549151132
iter = 262      errA=24668.164996036317      err2_a=0.0019464159301492694      err2_b=93.45083501303777
iter = 263      errA=24659.628074573495      err2_a=0.0019461083588795222      err2_b=93.4146253660555
iter = 264      errA=24505.690128941365      err2_a=0.0019405442574050463      err2_b=92.76285609006469
iter = 265      errA=24154.018827083582      err2_a=0.0019278393118404374      err2_b=91.26966256184507
iter = 266      errA=23585.598905125986      err2_a=0.0019069079475162272      err2_b=88.88024535397336
iter = 267      errA=23584.749923184077      err2_a=0.0019068770361189127      err2_b=88.8766333609021
iter = 268      errA=23548.384949288946      err2_a=0.0019055434700714054      err2_b=88.72273689641995
iter = 269      errA=23330.071376615837      err2_a=0.0018975512085333377      err2_b=87.79619465211465
iter = 270      errA=23309.540022437155      err2_a=0.0018967943119159057      err2_b=87.70939361441025
iter = 271      errA=23307.288926969755      err2_a=0.0018967107408253726      err2_b=87.69992685349882
iter = 272      errA=23294.714976184026      err2_a=0.0018962368918917641      err2_b=87.64766734115773
iter = 273      errA=23266.800255194965      err2_a=0.0018951769095034586      err2_b=87.53232784106567
iter = 274      errA=23262.602907824847      err2_a=0.0018950175938696997      err2_b=87.51497548823313
iter = 275      errA=22424.788589788666      err2_a=0.0018636852109799814      err2_b=83.99048279738724
iter = 276      errA=22413.262296592893      err2_a=0.0018632617104842725      err2_b=83.94104296545677
iter = 277      errA=22245.309696126806      err2_a=0.0018568022223097959      err2_b=83.24453458870428
iter = 278      errA=21898.399905617585      err2_a=0.001843451384754689      err2_b=81.80071140764024
iter = 279      errA=21897.700943917935      err2_a=0.0018434246673363712      err2_b=81.79777849831513
iter = 280      errA=21713.872759638427      err2_a=0.0018363357631218538      err2_b=81.03053977263073
iter = 281      errA=21696.615746355692      err2_a=0.0018356725376447677      err2_b=80.95819997402201
iter = 282      errA=21531.639659456796      err2_a=0.001829355022655506      err2_b=80.26360257730391
iter = 283      errA=21445.942213277827      err2_a=0.00182607233518295      err2_b=79.90208042012975
iter = 284      errA=21301.77429173365      err2_a=0.0018204850883582569      err2_b=79.29804017497072
iter = 285      errA=21300.93697933658      err2_a=0.0018204527141954584      err2_b=79.2945208497649
iter = 286      errA=21113.281507001837      err2_a=0.001813012493246459      err2_b=78.51977920146287
iter = 287      errA=21094.543281880207      err2_a=0.0018122719108972188      err2_b=78.4420675509323
iter = 288      errA=20851.57295425459      err2_a=0.0018026871356342658      err2_b=77.43034103059198
iter = 289      errA=20731.20145959112      err2_a=0.0017979802535231088      err2_b=76.92385867365186
iter = 290      errA=20690.36543980072      err2_a=0.001796349696109516      err2_b=76.75451513366002
iter = 291      errA=20680.89066401067      err2_a=0.0017959717963417865      err2_b=76.71516858136972
iter = 292      errA=20643.943356298158      err2_a=0.0017944995093502592      err2_b=76.56154882827566
iter = 293      errA=20591.542136321696      err2_a=0.001792411016928813      err2_b=76.34350049234973
iter = 294      errA=20511.530302789335      err2_a=0.001789158070637343      err2_b=76.0153126176261
iter = 295      errA=20262.24442572291      err2_a=0.001779013939080844      err2_b=74.98988782995593
iter = 296      errA=20040.919566856937      err2_a=0.0017700964219641176      err2_b=74.067488242049
iter = 297      errA=20038.962371693204      err2_a=0.0017700179933436441      err2_b=74.0592760330912
iter = 298      errA=20015.324368434343      err2_a=0.001769065157020082      err2_b=73.96051409134483
iter = 299      errA=19764.52798026198      err2_a=0.0017587759191467463      err2_b=72.92367578069471
iter = 300      errA=19762.27049173989      err2_a=0.0017586818245407159      err2_b=72.914431455255
iter = 301      errA=19758.380339632644      err2_a=0.0017585181283190073      err2_b=72.89862342217668
iter = 302      errA=19226.056603582227      err2_a=0.0017363618280817018      err2_b=70.70153751769712
iter = 303      errA=19225.237489101786      err2_a=0.0017363281829876598      err2_b=70.69809839687866
iter = 304      errA=19047.919376306123      err2_a=0.001729053767172498      err2_b=69.95118900257732
iter = 305      errA=19009.406012809366      err2_a=0.0017274708623114198      err2_b=69.78871851342383
iter = 306      errA=18999.791990173017      err2_a=0.0017270607207394138      err2_b=69.74929353597472
iter = 307      errA=18821.400511649637      err2_a=0.0017194486463389326      err2_b=69.01594664949755
iter = 308      errA=18580.878678314515      err2_a=0.0017092741617860464      err2_b=68.0144610082747
iter = 309      errA=18451.127833917108      err2_a=0.0017038441702294175      err2_b=67.46681261130753
