=========CG using MATLAB default precision=====
====DATA = ../graphs/se_1/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=5726, err2=550428, errA = 109.09
i=5727, err2=439227, errA = 109.084
i=5728, err2=359630, errA = 109.082
i=5729, err2=255033, errA = 109.08
i=5730, err2=764712, errA = 109.078
i=5731, err2=1.02751e+06, errA = 109.073
i=5732, err2=2.74653e+06, errA = 109.061
i=5733, err2=2.6639e+06, errA = 109.05
i=5734, err2=425715, errA = 109.038
i=5735, err2=92649.8, errA = 109.038
i=5736, err2=2.18007e+06, errA = 109.031
i=5737, err2=3.93108e+06, errA = 108.992
i=5738, err2=946117, errA = 108.981
i=5739, err2=3.21485e+06, errA = 108.971
i=5740, err2=1.05536e+06, errA = 108.96
i=5741, err2=1.7323e+06, errA = 108.953
i=5742, err2=2.54378e+06, errA = 108.93
i=5743, err2=7.40529e+06, errA = 108.865
i=5744, err2=5.18302e+06, errA = 108.831
i=5745, err2=6.43398e+06, errA = 108.806
i=5746, err2=3.70101e+06, errA = 108.78
i=5747, err2=3.38209e+06, errA = 108.761
i=5748, err2=1.49636e+06, errA = 108.739
i=5749, err2=1.17636e+06, errA = 108.704
i=5750, err2=2.12993e+06, errA = 108.661
i=5751, err2=2.21944e+06, errA = 108.634
i=5752, err2=925417, errA = 108.629
i=5753, err2=921953, errA = 108.621
i=5754, err2=551586, errA = 108.617
i=5755, err2=248916, errA = 108.615
i=5756, err2=1.73652e+06, errA = 108.61
i=5757, err2=435684, errA = 108.603
i=5758, err2=115691, errA = 108.602
i=5759, err2=292739, errA = 108.601
i=5760, err2=956621, errA = 108.595
i=5761, err2=365496, errA = 108.591
i=5762, err2=204221, errA = 108.59
i=5763, err2=199023, errA = 108.588
i=5764, err2=379877, errA = 108.587
i=5765, err2=767198, errA = 108.584
i=5766, err2=185858, errA = 108.581
i=5767, err2=113741, errA = 108.58
i=5768, err2=587769, errA = 108.579
i=5769, err2=244707, errA = 108.573
i=5770, err2=286622, errA = 108.572
i=5771, err2=357489, errA = 108.567
i=5772, err2=1.11811e+06, errA = 108.563
i=5773, err2=368099, errA = 108.559
i=5774, err2=112988, errA = 108.557
i=5775, err2=717596, errA = 108.555
i=5776, err2=1.26913e+06, errA = 108.547
i=5777, err2=2.13208e+06, errA = 108.531
i=5778, err2=777657, errA = 108.511
i=5779, err2=141513, errA = 108.51
i=5780, err2=123608, errA = 108.509
i=5781, err2=58640.6, errA = 108.509
i=5782, err2=156535, errA = 108.508
i=5783, err2=223475, errA = 108.507
i=5784, err2=236767, errA = 108.506
i=5785, err2=100583, errA = 108.504
i=5786, err2=182964, errA = 108.503
i=5787, err2=789897, errA = 108.499
i=5788, err2=1.47704e+06, errA = 108.492
i=5789, err2=236052, errA = 108.488
i=5790, err2=244454, errA = 108.486
i=5791, err2=2.01546e+06, errA = 108.482
i=5792, err2=445711, errA = 108.471
i=5793, err2=1.7087e+06, errA = 108.466
i=5794, err2=6.9084e+06, errA = 108.443
i=5795, err2=955266, errA = 108.424
i=5796, err2=1.03547e+06, errA = 108.416
i=5797, err2=7.86361e+06, errA = 108.389
i=5798, err2=5.01779e+06, errA = 108.35
i=5799, err2=1.8703e+06, errA = 108.327
i=5800, err2=5.2177e+06, errA = 108.302
i=5801, err2=814880, errA = 108.278
i=5802, err2=5.44437e+06, errA = 108.265
i=5803, err2=6.15086e+06, errA = 108.207
i=5804, err2=1.5003e+07, errA = 108.164
i=5805, err2=6.78918e+06, errA = 108.102
i=5806, err2=4.40116e+06, errA = 108.076
i=5807, err2=1.31386e+06, errA = 108.037
i=5808, err2=760486, errA = 108.034
i=5809, err2=515612, errA = 108.022
i=5810, err2=792209, errA = 108.019
i=5811, err2=1.28699e+06, errA = 108.013
i=5812, err2=564023, errA = 108.003
i=5813, err2=671123, errA = 107.999
i=5814, err2=813182, errA = 107.996
i=5815, err2=4.95339e+06, errA = 107.958
i=5816, err2=5.58764e+06, errA = 107.941
i=5817, err2=1.22241e+07, errA = 107.886
i=5818, err2=5.94678e+06, errA = 107.835
i=5819, err2=4.69274e+06, errA = 107.796
i=5820, err2=3.46003e+06, errA = 107.778
i=5821, err2=1.05435e+06, errA = 107.765
i=5822, err2=3.40802e+06, errA = 107.756
i=5823, err2=3.27255e+06, errA = 107.737
i=5824, err2=2.2078e+06, errA = 107.721
i=5825, err2=6.28816e+06, errA = 107.685
i=5826, err2=5.17875e+06, errA = 107.635
i=5827, err2=6.94208e+06, errA = 107.583
i=5828, err2=2.60914e+06, errA = 107.509
i=5829, err2=1.72326e+07, errA = 107.467
i=5830, err2=2.21031e+06, errA = 107.412
i=5831, err2=1.25722e+06, errA = 107.386
i=5832, err2=4.67444e+06, errA = 107.375
i=5833, err2=5.71238e+06, errA = 107.336
i=5834, err2=3.80588e+06, errA = 107.305
i=5835, err2=3.63333e+06, errA = 107.289
i=5836, err2=1.04316e+06, errA = 107.264
i=5837, err2=649392, errA = 107.258
i=5838, err2=1.72354e+06, errA = 107.248
i=5839, err2=1.32906e+06, errA = 107.24
i=5840, err2=1.29287e+06, errA = 107.232
i=5841, err2=2.81253e+06, errA = 107.223
i=5842, err2=822332, errA = 107.213
i=5843, err2=434393, errA = 107.21
i=5844, err2=2.2231e+06, errA = 107.195
i=5845, err2=1.36824e+07, errA = 107.152
i=5846, err2=1.99811e+07, errA = 107.049
i=5847, err2=2.023e+06, errA = 107.001
i=5848, err2=2.58592e+06, errA = 106.991
i=5849, err2=2.97846e+06, errA = 106.971
i=5850, err2=1.15236e+06, errA = 106.962
i=5851, err2=8.47927e+06, errA = 106.924
i=5852, err2=5.80877e+06, errA = 106.889
i=5853, err2=919691, errA = 106.856
i=5854, err2=1.38521e+06, errA = 106.851
i=5855, err2=1.10508e+06, errA = 106.843
i=5856, err2=2.58486e+06, errA = 106.837
i=5857, err2=1.36861e+06, errA = 106.816
i=5858, err2=1.0532e+06, errA = 106.81
i=5859, err2=331881, errA = 106.805
i=5860, err2=1.13122e+06, errA = 106.795
i=5861, err2=2.3861e+06, errA = 106.786
i=5862, err2=847576, errA = 106.778
i=5863, err2=818635, errA = 106.771
i=5864, err2=1.24453e+06, errA = 106.76
i=5865, err2=1.59151e+06, errA = 106.752
i=5866, err2=1.39767e+06, errA = 106.731
i=5867, err2=399738, errA = 106.728
i=5868, err2=349018, errA = 106.725
i=5869, err2=2.76448e+06, errA = 106.705
i=5870, err2=2.86274e+06, errA = 106.684
i=5871, err2=4.52393e+06, errA = 106.668
i=5872, err2=2.00848e+06, errA = 106.639
i=5873, err2=3.66684e+06, errA = 106.629
i=5874, err2=329685, errA = 106.603
i=5875, err2=914501, errA = 106.599
i=5876, err2=523203, errA = 106.595
i=5877, err2=589714, errA = 106.591
i=5878, err2=1.45271e+06, errA = 106.587
i=5879, err2=1.43785e+06, errA = 106.578
i=5880, err2=3.18983e+06, errA = 106.569
i=5881, err2=2.20437e+06, errA = 106.547
i=5882, err2=294113, errA = 106.54
i=5883, err2=1.1949e+06, errA = 106.536
i=5884, err2=2.4346e+06, errA = 106.509
i=5885, err2=2.98495e+06, errA = 106.488
i=5886, err2=3.56857e+06, errA = 106.474
i=5887, err2=917661, errA = 106.458
i=5888, err2=415614, errA = 106.455
i=5889, err2=498125, errA = 106.451
i=5890, err2=314092, errA = 106.449
i=5891, err2=388538, errA = 106.447
i=5892, err2=685199, errA = 106.444
i=5893, err2=1.1536e+06, errA = 106.44
i=5894, err2=781408, errA = 106.435
i=5895, err2=1.92118e+06, errA = 106.429
i=5896, err2=9.81919e+06, errA = 106.319
i=5897, err2=753448, errA = 106.296
i=5898, err2=2.06413e+06, errA = 106.287
i=5899, err2=6.30961e+06, errA = 106.225
i=5900, err2=3.85586e+06, errA = 106.197
i=5901, err2=1.4698e+06, errA = 106.187
i=5902, err2=273683, errA = 106.181
i=5903, err2=4.39843e+06, errA = 106.167
i=5904, err2=2.66617e+06, errA = 106.153
i=5905, err2=541457, errA = 106.138
i=5906, err2=2.51352e+06, errA = 106.129
i=5907, err2=654642, errA = 106.112
i=5908, err2=718073, errA = 106.11
i=5909, err2=690233, errA = 106.097
i=5910, err2=1.16384e+06, errA = 106.092
i=5911, err2=140179, errA = 106.088
i=5912, err2=1.13375e+06, errA = 106.086
i=5913, err2=387594, errA = 106.081
i=5914, err2=3.2706e+06, errA = 106.067
i=5915, err2=1.70891e+06, errA = 106.054
i=5916, err2=3.01219e+06, errA = 106.035
i=5917, err2=3.62992e+06, errA = 106.023
i=5918, err2=1.5062e+06, errA = 106.006
i=5919, err2=884460, errA = 105.995
i=5920, err2=1.2478e+06, errA = 105.983
i=5921, err2=4.33889e+06, errA = 105.968
i=5922, err2=981202, errA = 105.93
i=5923, err2=1.91925e+06, errA = 105.923
i=5924, err2=2.59672e+06, errA = 105.911
i=5925, err2=5.46292e+06, errA = 105.895
i=5926, err2=1.71751e+06, errA = 105.867
i=5927, err2=410481, errA = 105.863
i=5928, err2=173659, errA = 105.861
i=5929, err2=348593, errA = 105.86
i=5930, err2=501534, errA = 105.858
i=5931, err2=1.18269e+06, errA = 105.853
i=5932, err2=655792, errA = 105.846
i=5933, err2=737755, errA = 105.839
i=5934, err2=204395, errA = 105.837
i=5935, err2=289019, errA = 105.834
i=5936, err2=131765, errA = 105.832
i=5937, err2=414004, errA = 105.831
i=5938, err2=1.04928e+06, errA = 105.828
i=5939, err2=629571, errA = 105.818
i=5940, err2=614112, errA = 105.814
i=5941, err2=616473, errA = 105.811
i=5942, err2=291476, errA = 105.806
i=5943, err2=343437, errA = 105.805
i=5944, err2=362287, errA = 105.803
i=5945, err2=499985, errA = 105.8
i=5946, err2=481118, errA = 105.79
i=5947, err2=440767, errA = 105.787
i=5948, err2=481468, errA = 105.784
i=5949, err2=420496, errA = 105.782
i=5950, err2=461227, errA = 105.779
i=5951, err2=1.13307e+06, errA = 105.773
i=5952, err2=304008, errA = 105.771
i=5953, err2=580518, errA = 105.766
i=5954, err2=389418, errA = 105.763
i=5955, err2=1.01596e+06, errA = 105.76
i=5956, err2=559786, errA = 105.75
i=5957, err2=2.3995e+06, errA = 105.743
i=5958, err2=182646, errA = 105.736
i=5959, err2=118297, errA = 105.735
i=5960, err2=1.00143e+06, errA = 105.726
i=5961, err2=3.03038e+06, errA = 105.715
i=5962, err2=2.47247e+06, errA = 105.698
i=5963, err2=4.09366e+06, errA = 105.683
i=5964, err2=702832, errA = 105.666
i=5965, err2=1.19469e+06, errA = 105.662
i=5966, err2=380993, errA = 105.657
i=5967, err2=1.8354e+06, errA = 105.653
i=5968, err2=1.15634e+07, errA = 105.625
i=5969, err2=1.47507e+07, errA = 105.537
i=5970, err2=2.09941e+06, errA = 105.446
i=5971, err2=8.22123e+06, errA = 105.425
i=5972, err2=8.10225e+06, errA = 105.363
i=5973, err2=1.70566e+07, errA = 105.305
i=5974, err2=6.51799e+06, errA = 105.182
i=5975, err2=3.9648e+06, errA = 105.16
i=5976, err2=3.03464e+07, errA = 105.06
i=5977, err2=8.64248e+06, errA = 104.978
i=5978, err2=7.4378e+06, errA = 104.917
i=5979, err2=1.64182e+06, errA = 104.85
i=5980, err2=1.21293e+06, errA = 104.765
i=5981, err2=1.65389e+06, errA = 104.759
i=5982, err2=991808, errA = 104.751
i=5983, err2=546996, errA = 104.748
i=5984, err2=1.17724e+06, errA = 104.744
i=5985, err2=1.49242e+06, errA = 104.734
i=5986, err2=2.62787e+06, errA = 104.72
i=5987, err2=2.6384e+06, errA = 104.694
i=5988, err2=4.53544e+06, errA = 104.669
i=5989, err2=4.63823e+06, errA = 104.649
i=5990, err2=3.15903e+06, errA = 104.624
i=5991, err2=3.69445e+06, errA = 104.609
i=5992, err2=2.24662e+06, errA = 104.585
i=5993, err2=1.84978e+06, errA = 104.576
i=5994, err2=893599, errA = 104.57
i=5995, err2=2.17468e+06, errA = 104.56
i=5996, err2=412417, errA = 104.534
i=5997, err2=1.85878e+06, errA = 104.525
i=5998, err2=9.638e+06, errA = 104.502
i=5999, err2=1.71061e+07, errA = 104.433
i=6000, err2=1.59888e+07, errA = 104.334
i=6001, err2=5.17051e+06, errA = 104.281
i=6002, err2=6.94259e+06, errA = 104.253
i=6003, err2=2.73537e+06, errA = 104.218
i=6004, err2=1.34572e+06, errA = 104.191
i=6005, err2=919444, errA = 104.187
i=6006, err2=1.14264e+06, errA = 104.174
i=6007, err2=1.05133e+06, errA = 104.164
i=6008, err2=1.35236e+06, errA = 104.158
i=6009, err2=2.13305e+06, errA = 104.143
i=6010, err2=6.56675e+06, errA = 104.123
i=6011, err2=869028, errA = 104.102
i=6012, err2=845630, errA = 104.098
i=6013, err2=3.36887e+06, errA = 104.081
i=6014, err2=4.9393e+06, errA = 104.032
i=6015, err2=954161, errA = 104.015
i=6016, err2=2.34862e+06, errA = 104.009
i=6017, err2=3.95121e+06, errA = 103.993
i=6018, err2=2.34993e+06, errA = 103.962
i=6019, err2=3.50389e+06, errA = 103.953
i=6020, err2=2.48208e+06, errA = 103.919
i=6021, err2=2.35375e+06, errA = 103.903
i=6022, err2=2.41183e+06, errA = 103.876
i=6023, err2=4.0606e+06, errA = 103.864
i=6024, err2=1.87409e+06, errA = 103.818
i=6025, err2=1.03168e+06, errA = 103.814
i=6026, err2=3.39464e+06, errA = 103.763
i=6027, err2=3.79531e+06, errA = 103.746
i=6028, err2=8.81294e+06, errA = 103.693
i=6029, err2=4.62346e+06, errA = 103.656
i=6030, err2=1.42331e+06, errA = 103.629
i=6031, err2=1.68507e+06, errA = 103.619
i=6032, err2=722086, errA = 103.614
i=6033, err2=714676, errA = 103.607
i=6034, err2=1.97412e+06, errA = 103.595
i=6035, err2=3.09045e+06, errA = 103.563
i=6036, err2=3.26388e+06, errA = 103.55
i=6037, err2=1.70405e+06, errA = 103.537
i=6038, err2=2.09513e+06, errA = 103.529
i=6039, err2=969932, errA = 103.507
i=6040, err2=527025, errA = 103.503
i=6041, err2=2.88968e+06, errA = 103.497
i=6042, err2=2.31284e+06, errA = 103.472
i=6043, err2=1.79289e+06, errA = 103.465
i=6044, err2=386627, errA = 103.454
i=6045, err2=130846, errA = 103.453
i=6046, err2=172192, errA = 103.452
i=6047, err2=1.48154e+06, errA = 103.439
i=6048, err2=1.37491e+07, errA = 103.399
i=6049, err2=1.23026e+07, errA = 103.327
i=6050, err2=3.94471e+06, errA = 103.292
i=6051, err2=3.02349e+06, errA = 103.274
i=6052, err2=1.81489e+07, errA = 103.215
i=6053, err2=7.64731e+06, errA = 103.105
i=6054, err2=1.5222e+06, errA = 102.99
i=6055, err2=2.17136e+06, errA = 102.982
i=6056, err2=3.63317e+06, errA = 102.915
i=6057, err2=9.31323e+06, errA = 102.889
i=6058, err2=1.19877e+07, errA = 102.807
i=6059, err2=7.91191e+06, errA = 102.69
i=6060, err2=3.70415e+06, errA = 102.669
i=6061, err2=1.74377e+06, errA = 102.646
i=6062, err2=456926, errA = 102.636
i=6063, err2=621345, errA = 102.635
i=6064, err2=718373, errA = 102.629
i=6065, err2=1.06992e+06, errA = 102.625
i=6066, err2=1.12359e+06, errA = 102.618
i=6067, err2=1.96776e+06, errA = 102.607
i=6068, err2=1.17542e+06, errA = 102.601
i=6069, err2=1.10874e+06, errA = 102.594
i=6070, err2=681237, errA = 102.589
i=6071, err2=2.80717e+06, errA = 102.581
i=6072, err2=2.95049e+06, errA = 102.565
i=6073, err2=3.98995e+06, errA = 102.516
i=6074, err2=3.35721e+06, errA = 102.497
i=6075, err2=2.08586e+06, errA = 102.488
i=6076, err2=5.79306e+06, errA = 102.452
i=6077, err2=7.59181e+06, errA = 102.415
i=6078, err2=906988, errA = 102.369
i=6079, err2=1.36927e+06, errA = 102.362
i=6080, err2=865818, errA = 102.353
i=6081, err2=322292, errA = 102.35
i=6082, err2=781407, errA = 102.333
i=6083, err2=624250, errA = 102.317
i=6084, err2=1.00874e+06, errA = 102.312
i=6085, err2=1.93454e+06, errA = 102.304
i=6086, err2=5.56584e+06, errA = 102.281
i=6087, err2=1.03836e+07, errA = 102.226
i=6088, err2=6.54172e+06, errA = 102.189
i=6089, err2=2.39516e+06, errA = 102.164
i=6090, err2=1.41226e+06, errA = 102.155
i=6091, err2=1.39554e+06, errA = 102.148
i=6092, err2=489343, errA = 102.143
i=6093, err2=837674, errA = 102.139
i=6094, err2=3.52735e+06, errA = 102.132
i=6095, err2=3.07179e+06, errA = 102.092
i=6096, err2=2.8334e+06, errA = 102.068
i=6097, err2=1.10739e+06, errA = 102.06
i=6098, err2=978458, errA = 102.055
i=6099, err2=3.44137e+06, errA = 102.043
i=6100, err2=3.24922e+06, errA = 102.026
i=6101, err2=1.03358e+06, errA = 102.015
i=6102, err2=515090, errA = 102.012
i=6103, err2=1.20752e+06, errA = 102.008
i=6104, err2=772864, errA = 101.998
i=6105, err2=1.13256e+06, errA = 101.954
i=6106, err2=1.38222e+06, errA = 101.949
i=6107, err2=1.4693e+06, errA = 101.936
i=6108, err2=266149, errA = 101.919
i=6109, err2=208800, errA = 101.918
i=6110, err2=841371, errA = 101.914
i=6111, err2=176004, errA = 101.908
i=6112, err2=588325, errA = 101.906
i=6113, err2=1.82293e+06, errA = 101.892
i=6114, err2=2.59e+06, errA = 101.885
i=6115, err2=573623, errA = 101.866
i=6116, err2=460452, errA = 101.865
i=6117, err2=352902, errA = 101.857
i=6118, err2=130651, errA = 101.856
i=6119, err2=143084, errA = 101.855
i=6120, err2=258657, errA = 101.854
i=6121, err2=249583, errA = 101.852
i=6122, err2=460755, errA = 101.85
i=6123, err2=924626, errA = 101.848
i=6124, err2=2.32638e+06, errA = 101.824
i=6125, err2=1.05407e+06, errA = 101.818
i=6126, err2=2.20666e+06, errA = 101.804
i=6127, err2=2.12677e+06, errA = 101.784
i=6128, err2=454353, errA = 101.778
i=6129, err2=1.32035e+06, errA = 101.769
i=6130, err2=411671, errA = 101.764
i=6131, err2=672053, errA = 101.76
i=6132, err2=1.19274e+06, errA = 101.752
i=6133, err2=2.14299e+06, errA = 101.739
i=6134, err2=2.31958e+06, errA = 101.729
i=6135, err2=362460, errA = 101.714
i=6136, err2=447251, errA = 101.711
i=6137, err2=374903, errA = 101.707
i=6138, err2=350940, errA = 101.705
i=6139, err2=2.02435e+06, errA = 101.699
i=6140, err2=1.23922e+06, errA = 101.692
i=6141, err2=1.0577e+06, errA = 101.684
i=6142, err2=818057, errA = 101.678
i=6143, err2=428001, errA = 101.675
i=6144, err2=345449, errA = 101.672
i=6145, err2=280406, errA = 101.671
i=6146, err2=908272, errA = 101.664
i=6147, err2=3.14697e+06, errA = 101.656
i=6148, err2=4.47898e+06, errA = 101.636
i=6149, err2=2.22357e+06, errA = 101.61
i=6150, err2=3.6561e+06, errA = 101.598
i=6151, err2=2.18124e+06, errA = 101.581
i=6152, err2=2.10492e+06, errA = 101.567
i=6153, err2=875356, errA = 101.557
i=6154, err2=401135, errA = 101.553
i=6155, err2=4.05474e+06, errA = 101.545
i=6156, err2=5.07857e+06, errA = 101.495
i=6157, err2=323767, errA = 101.481
i=6158, err2=900798, errA = 101.476
i=6159, err2=1.59708e+06, errA = 101.471
i=6160, err2=1.5076e+06, errA = 101.458
i=6161, err2=2.13551e+06, errA = 101.405
i=6162, err2=3.61025e+06, errA = 101.359
i=6163, err2=6.34203e+06, errA = 101.317
i=6164, err2=1.61262e+07, errA = 101.275
i=6165, err2=2.98506e+07, errA = 101.129
i=6166, err2=1.35628e+07, errA = 101.036
i=6167, err2=4.15139e+06, errA = 100.959
i=6168, err2=1.00082e+06, errA = 100.935
i=6169, err2=484074, errA = 100.933
i=6170, err2=7.01796e+06, errA = 100.917
i=6171, err2=1.98443e+06, errA = 100.874
i=6172, err2=1.09447e+06, errA = 100.867
i=6173, err2=921745, errA = 100.86
i=6174, err2=1.04904e+06, errA = 100.857
i=6175, err2=5.4878e+06, errA = 100.816
i=6176, err2=8.8711e+06, errA = 100.792
i=6177, err2=4.4833e+06, errA = 100.725
i=6178, err2=3.76955e+06, errA = 100.694
i=6179, err2=971629, errA = 100.678
i=6180, err2=2.07685e+06, errA = 100.665
i=6181, err2=1.19839e+06, errA = 100.656
i=6182, err2=938195, errA = 100.65
i=6183, err2=2.56737e+06, errA = 100.634
i=6184, err2=3.0995e+06, errA = 100.622
i=6185, err2=2.82217e+06, errA = 100.602
i=6186, err2=1.07975e+06, errA = 100.587
i=6187, err2=2.89078e+06, errA = 100.564
i=6188, err2=1.36428e+06, errA = 100.553
i=6189, err2=1.27133e+06, errA = 100.527
i=6190, err2=1.44537e+06, errA = 100.521
i=6191, err2=2.39051e+06, errA = 100.514
i=6192, err2=2.26043e+06, errA = 100.494
i=6193, err2=2.23621e+06, errA = 100.48
i=6194, err2=6.62645e+06, errA = 100.457
i=6195, err2=5.87865e+06, errA = 100.418
i=6196, err2=1.41426e+06, errA = 100.401
i=6197, err2=1.55475e+06, errA = 100.396
i=6198, err2=1.71094e+06, errA = 100.307
i=6199, err2=619356, errA = 100.302
i=6200, err2=660909, errA = 100.3
i=6201, err2=5.03082e+06, errA = 100.267
i=6202, err2=6.40559e+06, errA = 100.246
i=6203, err2=2.40698e+06, errA = 100.211
i=6204, err2=1.92732e+06, errA = 100.195
i=6205, err2=1.13026e+06, errA = 100.184
i=6206, err2=585010, errA = 100.18
i=6207, err2=233887, errA = 100.177
i=6208, err2=2.93365e+06, errA = 100.165
i=6209, err2=1.19828e+06, errA = 100.155
i=6210, err2=1.39391e+06, errA = 100.143
i=6211, err2=498981, errA = 100.132
i=6212, err2=1.53746e+06, errA = 100.127
i=6213, err2=1.94967e+06, errA = 100.118
i=6214, err2=4.55667e+06, errA = 100.096
i=6215, err2=1.57378e+06, errA = 100.075
i=6216, err2=4.43382e+06, errA = 100.062
i=6217, err2=619485, errA = 100.049
i=6218, err2=978394, errA = 100.041
i=6219, err2=957141, errA = 100.037
i=6220, err2=1.71677e+06, errA = 100.026
i=6221, err2=1.56867e+06, errA = 100.017
i=6222, err2=425038, errA = 100.013
i=6223, err2=355955, errA = 100.012
i=6224, err2=551235, errA = 100.006
i=6225, err2=490062, errA = 100.002
i=6226, err2=268560, errA = 100
i=6227, err2=301867, errA = 99.9986
i=6228, err2=548157, errA = 99.9967
i=6229, err2=939946, errA = 99.9851
i=6230, err2=325915, errA = 99.9832
i=6231, err2=1.13688e+06, errA = 99.9684
i=6232, err2=3.18672e+06, errA = 99.9561
i=6233, err2=1.23686e+06, errA = 99.9388
i=6234, err2=630527, errA = 99.935
i=6235, err2=1.94035e+06, errA = 99.9183
i=6236, err2=757095, errA = 99.9091
i=6237, err2=1.87052e+06, errA = 99.8939
i=6238, err2=573728, errA = 99.8716
i=6239, err2=623920, errA = 99.8693
i=6240, err2=285431, errA = 99.8671
i=6241, err2=312532, errA = 99.8653
i=6242, err2=797030, errA = 99.8631
i=6243, err2=1.53952e+06, errA = 99.8513
i=6244, err2=1.06213e+06, errA = 99.8459
i=6245, err2=4.68792e+06, errA = 99.8302
i=6246, err2=9.47699e+06, errA = 99.7533
i=6247, err2=5.48431e+06, errA = 99.7295
i=6248, err2=7.48203e+06, errA = 99.6701
i=6249, err2=1.26277e+06, errA = 99.6531
i=6250, err2=779443, errA = 99.643
i=6251, err2=1.03511e+07, errA = 99.5801
i=6252, err2=3.30185e+06, errA = 99.5536
i=6253, err2=1.55086e+06, errA = 99.5391
i=6254, err2=3.68196e+06, errA = 99.5216
i=6255, err2=1.76031e+06, errA = 99.5003
i=6256, err2=1.53051e+06, errA = 99.4925
i=6257, err2=649493, errA = 99.4878
i=6258, err2=440266, errA = 99.4845
i=6259, err2=791520, errA = 99.4818
i=6260, err2=369576, errA = 99.4714
i=6261, err2=666299, errA = 99.4686
i=6262, err2=852985, errA = 99.4617
i=6263, err2=662691, errA = 99.4571
i=6264, err2=179840, errA = 99.4518
i=6265, err2=226877, errA = 99.4509
i=6266, err2=483857, errA = 99.4489
i=6267, err2=114786, errA = 99.4476
i=6268, err2=284093, errA = 99.4439
i=6269, err2=263661, errA = 99.4429
i=6270, err2=121755, errA = 99.4409
i=6271, err2=372510, errA = 99.4393
i=6272, err2=857969, errA = 99.437
i=6273, err2=749639, errA = 99.432
i=6274, err2=2.55513e+06, errA = 99.4214
i=6275, err2=1.05211e+06, errA = 99.4105
i=6276, err2=452703, errA = 99.4072
i=6277, err2=264282, errA = 99.4036
i=6278, err2=126401, errA = 99.4017
i=6279, err2=142587, errA = 99.4013
i=6280, err2=434023, errA = 99.3991
i=6281, err2=175491, errA = 99.3931
i=6282, err2=160047, errA = 99.3925
i=6283, err2=428889, errA = 99.3894
i=6284, err2=679275, errA = 99.3873
i=6285, err2=346029, errA = 99.3841
i=6286, err2=204700, errA = 99.3822
i=6287, err2=92453, errA = 99.3814
i=6288, err2=48546, errA = 99.3811
i=6289, err2=208216, errA = 99.3798
i=6290, err2=90773.8, errA = 99.3764
i=6291, err2=176792, errA = 99.376
i=6292, err2=445711, errA = 99.3726
i=6293, err2=1.26147e+06, errA = 99.3669
i=6294, err2=477304, errA = 99.3608
i=6295, err2=269060, errA = 99.3588
i=6296, err2=335121, errA = 99.3562
i=6297, err2=260836, errA = 99.3549
i=6298, err2=1.62573e+06, errA = 99.3519
i=6299, err2=2.80346e+06, errA = 99.3306
i=6300, err2=5.98165e+06, errA = 99.3046
i=6301, err2=3.21259e+06, errA = 99.2637
i=6302, err2=2.21736e+06, errA = 99.2391
i=6303, err2=1.26603e+06, errA = 99.2269
i=6304, err2=363758, errA = 99.224
i=6305, err2=4.67638e+06, errA = 99.2071
i=6306, err2=787358, errA = 99.192
i=6307, err2=301397, errA = 99.19
i=6308, err2=924497, errA = 99.1826
i=6309, err2=449538, errA = 99.1799
i=6310, err2=3.2238e+06, errA = 99.1587
i=6311, err2=452112, errA = 99.1387
i=6312, err2=791128, errA = 99.1368
i=6313, err2=2.53895e+06, errA = 99.1275
i=6314, err2=1.03748e+07, errA = 99.0785
i=6315, err2=7.20887e+06, errA = 99.0029
i=6316, err2=7.89008e+06, errA = 98.9279
i=6317, err2=2.26226e+06, errA = 98.912
i=6318, err2=1.11457e+06, errA = 98.8951
i=6319, err2=1.49273e+06, errA = 98.887
i=6320, err2=292459, errA = 98.8818
i=6321, err2=598912, errA = 98.8793
i=6322, err2=1.71485e+06, errA = 98.8735
i=6323, err2=2.17666e+06, errA = 98.8639
i=6324, err2=3.73022e+06, errA = 98.8497
i=6325, err2=1.89697e+06, errA = 98.8356
i=6326, err2=229161, errA = 98.8203
i=6327, err2=633549, errA = 98.8126
i=6328, err2=3.86143e+06, errA = 98.7944
i=6329, err2=1.66159e+06, errA = 98.7813
i=6330, err2=969717, errA = 98.7748
i=6331, err2=1.54857e+06, errA = 98.7686
i=6332, err2=854861, errA = 98.7581
i=6333, err2=764008, errA = 98.7539
i=6334, err2=1.73904e+06, errA = 98.7466
i=6335, err2=1.44407e+06, errA = 98.7368
i=6336, err2=3.80566e+06, errA = 98.7254
i=6337, err2=1.00389e+06, errA = 98.7008
i=6338, err2=4.07065e+06, errA = 98.6802
i=6339, err2=3.44815e+06, errA = 98.6587
i=6340, err2=804325, errA = 98.6503
i=6341, err2=1.48283e+06, errA = 98.645
i=6342, err2=698838, errA = 98.627
i=6343, err2=2.22778e+06, errA = 98.6223
i=6344, err2=1.8747e+06, errA = 98.6063
i=6345, err2=2.55283e+06, errA = 98.5929
i=6346, err2=1.59201e+06, errA = 98.5825
i=6347, err2=2.06195e+06, errA = 98.5693
i=6348, err2=4.41697e+06, errA = 98.5492
i=6349, err2=1.02878e+07, errA = 98.5109
i=6350, err2=4.43847e+06, errA = 98.4786
i=6351, err2=4.67489e+06, errA = 98.4545
i=6352, err2=2.9588e+06, errA = 98.3866
i=6353, err2=2.13914e+06, errA = 98.3575
