anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 201      errA=0.00018101321360232417      err2_a=1.5571472582561478e-6      err2_b=0.00027146411386193834
iter = 202      errA=0.00017499386497170746      err2_a=1.4741222799119693e-6      err2_b=0.00026488488976027507
iter = 203      errA=0.00015082081068727135      err2_a=1.3105717389999152e-6      err2_b=0.00022221059462786965
iter = 204      errA=0.00014228240936353588      err2_a=1.2446209376533052e-6      err2_b=0.00021139313038613628
iter = 205      errA=0.0001411846155911867      err2_a=1.236648383710926e-6      err2_b=0.000209149869999549
iter = 206      errA=0.00013889460739282452      err2_a=1.2197890365993757e-6      err2_b=0.00020555509296738616
iter = 207      errA=0.0001359520186781424      err2_a=1.1759370225870263e-6      err2_b=0.00020352935587188175
iter = 208      errA=0.00013099338363835867      err2_a=1.1496557444594535e-6      err2_b=0.00019292997684397167
iter = 209      errA=0.00011105929067836978      err2_a=9.737301010341624e-7      err2_b=0.0001619530630082983
iter = 210      errA=0.00010075972301473864      err2_a=8.51731787504533e-7      err2_b=0.00015162743182909632
iter = 211      errA=8.462481684968785e-5      err2_a=7.371521457248499e-7      err2_b=0.00012483134923740605
iter = 212      errA=7.628214431603956e-5      err2_a=6.532656033714388e-7      err2_b=0.00011287542722556027
iter = 213      errA=7.622066155504798e-5      err2_a=6.521873435289874e-7      err2_b=0.00011299767899768244
iter = 214      errA=7.100943369582663e-5      err2_a=6.145229616476417e-7      err2_b=0.00010539912538595377
iter = 215      errA=6.378897734937062e-5      err2_a=5.472339262062956e-7      err2_b=9.601144052452984e-5
iter = 216      errA=5.793220538191744e-5      err2_a=4.982718533683e-7      err2_b=8.70103840592664e-5
iter = 217      errA=4.46893742843582e-5      err2_a=3.9217949340195765e-7      err2_b=6.411826453400668e-5
iter = 218      errA=4.4579903033907974e-5      err2_a=3.910720168399055e-7      err2_b=6.381220806053616e-5
