anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 173      errA=3.870150605890444      err2_a=0.0034229051997745072      err2_b=5.758554376727094
iter = 174      errA=3.6942760756735074      err2_a=0.0032669301764943616      err2_b=5.498507722122642
iter = 175      errA=3.5327666687039128      err2_a=0.003122861352561451      err2_b=5.265665655770759
iter = 176      errA=3.3497477985812165      err2_a=0.0029601668990966367      err2_b=4.993309005142437
iter = 177      errA=3.198058313990963      err2_a=0.0028217288913440003      err2_b=4.773942377613858
iter = 178      errA=3.0556984465670403      err2_a=0.002695977153271149      err2_b=4.557402091088639
iter = 179      errA=2.906731444148376      err2_a=0.0025619204678365187      err2_b=4.3330591311969435
iter = 180      errA=2.780444830457602      err2_a=0.002450145913843064      err2_b=4.146679493125578
iter = 181      errA=2.6539183716120545      err2_a=0.0023397611604476635      err2_b=3.9586396222204088
iter = 182      errA=2.5295773164522215      err2_a=0.002226966340238255      err2_b=3.7797283551526504
iter = 183      errA=2.414344841139906      err2_a=0.0021276095704049394      err2_b=3.6055170908248404
iter = 184      errA=2.3051668239607026      err2_a=0.002032150372582323      err2_b=3.4404431564162317
iter = 185      errA=2.1970085234380554      err2_a=0.0019339535350477222      err2_b=3.2852487226132765
iter = 186      errA=2.090271555194934      err2_a=0.0018404747975975175      err2_b=3.1247578472843487
iter = 187      errA=1.9948868245918505      err2_a=0.0017567957458800695      err2_b=2.9776989099731
iter = 188      errA=1.9911742237072665      err2_a=0.001753510203830892      err2_b=2.9723634662478373
iter = 189      errA=1.9018452740371243      err2_a=0.0016749575884494304      err2_b=2.8369037067092577
iter = 190      errA=1.8135479985901068      err2_a=0.001596483064148054      err2_b=2.7066412128969635
iter = 191      errA=1.7306913584327674      err2_a=0.0015225013661592838      err2_b=2.588078684251039
iter = 192      errA=1.6462216666284406      err2_a=0.001448444183567919      err2_b=2.462846285215566
iter = 193      errA=1.5678046979425058      err2_a=0.0013792439374205668      err2_b=2.347104613818613
iter = 194      errA=1.4962201737889338      err2_a=0.0013152776533232123      err2_b=2.245981283756839
iter = 195      errA=1.4688110212391379      err2_a=0.0012902328932195054      err2_b=2.2079818836079954
iter = 196      errA=1.4194733844684013      err2_a=0.0012478914959698866      err2_b=2.1300328946818214
iter = 197      errA=1.356349630941939      err2_a=0.0011920667070132753      err2_b=2.0382741672072133
iter = 198      errA=1.2890343991421864      err2_a=0.0011336281373694388      err2_b=1.9371100738299851
iter = 199      errA=1.2281795748527509      err2_a=0.0010819381358182186      err2_b=1.8440002001205626
iter = 200      errA=1.1730204654734724      err2_a=0.0010333469857337694      err2_b=1.7595426586418978
iter = 201      errA=1.119650085999715      err2_a=0.0009862724219837032      err2_b=1.6786721223605185
iter = 202      errA=1.0840937263034929      err2_a=0.0009541186694258246      err2_b=1.6283638895407404
iter = 203      errA=1.061941566462998      err2_a=0.0009351741312259076      err2_b=1.594393745062015
iter = 204      errA=1.0126011082238557      err2_a=0.0008925455512483427      err2_b=1.5173669546921602
iter = 205      errA=0.9624215777799432      err2_a=0.000847522846550514      err2_b=1.4414523267493442
iter = 206      errA=0.9183706186531991      err2_a=0.0008085829999305556      err2_b=1.375428442946884
iter = 207      errA=0.874984819417967      err2_a=0.0007704856377715643      err2_b=1.3118354704331545
iter = 208      errA=0.8314993133332512      err2_a=0.0007319993586797892      err2_b=1.2477914558961007
iter = 209      errA=0.7902730705311329      err2_a=0.0006945620783565498      err2_b=1.1892224151655497
iter = 210      errA=0.7509047394200082      err2_a=0.0006606383346124336      err2_b=1.1275124117943127
iter = 211      errA=0.7165479917626767      err2_a=0.0006301287269999502      err2_b=1.0774915283958526
iter = 212      errA=0.6802388614768439      err2_a=0.0005971666240914746      err2_b=1.0249378686943134
iter = 213      errA=0.6489615078489187      err2_a=0.0005700529138900957      err2_b=0.976619309908237
iter = 214      errA=0.6154249200806166      err2_a=0.0005403232443073638      err2_b=0.9268652329524175
iter = 215      errA=0.5841020448622164      err2_a=0.0005130453734657112      err2_b=0.8797899935798494
iter = 216      errA=0.5560275920779808      err2_a=0.0004883915253382685      err2_b=0.8363574627827697
iter = 217      errA=0.5308388714275869      err2_a=0.0004662498240975708      err2_b=0.7985230956300288
iter = 218      errA=0.505902146487147      err2_a=0.0004443836247832073      err2_b=0.7600176579941086
iter = 219      errA=0.47908398529531954      err2_a=0.0004208151039235854      err2_b=0.7188974775069401
iter = 220      errA=0.4543028766097671      err2_a=0.0003992296564931985      err2_b=0.6813499065683772
iter = 221      errA=0.4308264937101748      err2_a=0.0003786786060607922      err2_b=0.6468160908673637
iter = 222      errA=0.4254803939570895      err2_a=0.00037374768639568976      err2_b=0.6388564616927216
iter = 223      errA=0.40826711731041215      err2_a=0.00035862569598424816      err2_b=0.612100226294553
iter = 224      errA=0.38511930752575174      err2_a=0.0003379847572643337      err2_b=0.5780250516085895
iter = 225      errA=0.3658482887355377      err2_a=0.00032132655317986783      err2_b=0.549118134958301
iter = 226      errA=0.34657718091613626      err2_a=0.0003046745732725884      err2_b=0.5197024070912867
iter = 227      errA=0.32716294874051455      err2_a=0.00028763425712443675      err2_b=0.4906006960847637
iter = 228      errA=0.30966658020011284      err2_a=0.000271986756434867      err2_b=0.4645060492485001
iter = 229      errA=0.29312901794203267      err2_a=0.00025731173326191633      err2_b=0.4394911650515801
iter = 230      errA=0.27750064385664847      err2_a=0.00024387191084932692      err2_b=0.4150879744774219
iter = 231      errA=0.26325082958664225      err2_a=0.00023105746349525805      err2_b=0.3944100518447151
iter = 232      errA=0.24925065403560207      err2_a=0.0002188784505058356      err2_b=0.37377892123515805
iter = 233      errA=0.2385132102789461      err2_a=0.00020943057519902725      err2_b=0.3578079852211402
iter = 234      errA=0.23559072566237615      err2_a=0.00020693026613456735      err2_b=0.3529743787118864
iter = 235      errA=0.22201346178959905      err2_a=0.0001948824598573319      err2_b=0.3330526221294243
iter = 236      errA=0.2090355555231963      err2_a=0.00018351666357535406      err2_b=0.31383735373639843
iter = 237      errA=0.19661628902931189      err2_a=0.00017246865581516268      err2_b=0.2952838503627156
iter = 238      errA=0.18553069096445376      err2_a=0.00016264966017146435      err2_b=0.27800245793544326
iter = 239      errA=0.17585742663993056      err2_a=0.00015401482858648348      err2_b=0.2638167958606967
iter = 240      errA=0.1658351879573412      err2_a=0.00014540349943906826      err2_b=0.24863392116015853
iter = 241      errA=0.1569279626036625      err2_a=0.00013755504679985943      err2_b=0.23570949263335186
iter = 242      errA=0.1478814221005684      err2_a=0.00012950206970570573      err2_b=0.22227003224986558
iter = 243      errA=0.139479249370315      err2_a=0.00012221124811610503      err2_b=0.20981315305806753
iter = 244      errA=0.13841672296403099      err2_a=0.00012130634114307135      err2_b=0.20817449827889475
iter = 245      errA=0.13119552122891806      err2_a=0.00011498540969931008      err2_b=0.19715912109256412
iter = 246      errA=0.12342679768574098      err2_a=0.00010810347645050067      err2_b=0.18571641023290483
iter = 247      errA=0.11639217707991806      err2_a=0.00010200340078243935      err2_b=0.17511373766814264
iter = 248      errA=0.10979277033401867      err2_a=9.634199047711258e-5      err2_b=0.16525726908346355
iter = 249      errA=0.104070525357995      err2_a=9.135264478264304e-5      err2_b=0.15653802819369098
iter = 250      errA=0.09849648468475827      err2_a=8.640600918393969e-5      err2_b=0.14823630059779558
iter = 251      errA=0.092457387358125      err2_a=8.120702257564419e-5      err2_b=0.13889557381725356
iter = 252      errA=0.08723817417725765      err2_a=7.663606281368213e-5      err2_b=0.13114438918541957
iter = 253      errA=0.08238682602752714      err2_a=7.237334182949954e-5      err2_b=0.12396457158547375
iter = 254      errA=0.07758528130137261      err2_a=6.817322363467561e-5      err2_b=0.11665652469619778
iter = 255      errA=0.07719708061066596      err2_a=6.780233667449816e-5      err2_b=0.11604585083539538
iter = 256      errA=0.07272977070406761      err2_a=6.378898239481684e-5      err2_b=0.10966593719827007
iter = 257      errA=0.06880090161545938      err2_a=6.0320773499239084e-5      err2_b=0.10363660206330846
